Topaz, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Attired, Duchess, Short, in shape, Oval Face, Tan Skin, Chestnut Hair, Hazel Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Wedding Updo, full breasts, Faux gauge earrings, magenta metallic lipstick
Turquoise, Crystals that grow in elongated shapes, forming elegant and elongated prismatic structures, Wrapped, Madame, Short, Firm, Oval Face, Fair Skin, Blonde Hair, teal Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Loose Waves, asymmetrical breasts, Huggie earrings, violet satin lipstick
Pearl, Crystals that grow in clusters, creating a textured and multidimensional surface, Decked, Queen, Short, Firm, Triangular Face, Tan Skin, Dark Brown Hair, red Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Updo, soft breasts, Cuff earrings, lavender metallic lipstick
Jade, A network of crystalized branches, capturing the beauty of nature's delicate formations, Adorned, Superwoman, Short, Thin, Diamond-Shaped Face, Tan Skin, Chestnut Hair, coral Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Curly Hair, Twisted Bun, firm breasts, Hoop earrings, brown gloss lipstick
Emerald, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Covered, Baroness, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Light Brown Hair, aquamarine Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Beach Waves, augmented breasts, , golden sheer lipstick
Diamond, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Shrouded, Madame, Average Height, Wide Hips, Oval Face, Fair Skin, Auburn Hair, jade Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Tapered Afro, perky breasts, Dangle earrings, berry satin lipstick
Ruby, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Caparisoned, Vixen, Short, in shape, Diamond-Shaped Face, Dark Skin, Auburn Hair, Blue Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Braided Updo, augmented breasts, , pink gloss lipstick
Rhodochrosite, A network of crystalized branches, capturing the beauty of nature's delicate formations, Robed, Diva, Tall, Thin, Round Face, Fair Skin, Black Hair, grey Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Sleek Bun, saggy breasts, Hoop earrings, magenta gloss lipstick
Onyx, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Caparisoned, Luminary, Average Height, in shape, Oval Face, Olive Skin, Light Brown Hair, Brown Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Long Straight Hair, saggy breasts, Faux gauge earrings, black cream lipstick
Amethyst, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Shrouded, Dame, Short, Slim, Oval Face, Dark Skin, Honey Blonde Hair, Blue Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Rope Braid, natural breasts, Huggie earrings, peach gloss lipstick
Obsidian, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Sporting, Vixen, Short, in shape, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, Brown Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Viking Braid, large breasts, Huggie earrings, rust stain lipstick
Citrine, A crystalized formation with sharp edges and intricate geometric patterns, Sporting, Phenom, Tall, Slim, Diamond-Shaped Face, Olive Skin, White Hair, aquamarine Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Wavy Updo, saggy breasts, Drop earrings, grape gloss lipstick
Aquamarine, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Decked, Chanteuse, Tall, Toned, Heart-Shaped Face, Olive Skin, Gray Hair, aquamarine Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Updo, augmented breasts, Faux gauge earrings, rose matte lipstick
Ruby, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Cloaked, Charmer, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, green Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Viking Braid, natural breasts, Stud earrings, cream sheer lipstick
Alexandrite, A crystalized formation with jagged edges, resembling a miniature mountain range, Mantled, Charmer, Short, Skinny, Square Face, Dark Skin, Blonde Hair, silver Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Shaggy Cut, large breasts, Dangle earrings, pink cream lipstick
Labradorite, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Cloaked, Enigma, Average Height, Slim, Heart-Shaped Face, Tan Skin, White Hair, Brown Eyes with Green Flecks, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Side-Swept Bangs, perky breasts, Drop earrings, cream gloss lipstick
Malachite, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Appareled, Female Viking, Short, Wide Hips, Round Face, Dark Skin, Honey Blonde Hair, amethyst Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Voluminous Waves, natural breasts, Cuff earrings, mauve stain lipstick
Coral, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Embellished, Trailblazer, Average Height, Skinny, Oval Face, Fair Skin, Light Brown Hair, amethyst Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Donut Bun, soft breasts, Drop earrings, berry metallic lipstick
Opal, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Enrobed, Female Viking, Short, Thin, Triangular Face, Fair Skin, Light Brown Hair, Hazel Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Formal Braided Updo, large breasts, Threader earrings, burgundy matte lipstick
Sapphire, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Adorned, Charmer, Short, Toned, Diamond-Shaped Face, Tan Skin, Auburn Hair, red Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Side-Swept Bangs, asymmetrical breasts, Clip-on earrings, rust cream lipstick
Alexandrite, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Covered, Empress, Average Height, Thin, Triangular Face, Olive Skin, Silver Hair, grey Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Fluffy Afro, large breasts, Threader earrings, red satin lipstick
Diamond, A crystalized formation with jagged edges, resembling a miniature mountain range, Mantled, Vixen, Short, Toned, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, blue Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Fishtail Braid, saggy breasts, , light pink metallic lipstick
Aquamarine, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Embellished, Escort, Average Height, Lean, Diamond-Shaped Face, Dark Skin, Chestnut Hair, Gray Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Donut Bun, saggy breasts, Drop earrings, terracotta cream lipstick
Peridot, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Enveloped, Luminary, Average Height, Toned, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, blue Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Fine Hair, Fauxhawk, perky breasts, Dangle earrings, red cream lipstick
Opal, Crystals that grow in elongated shapes, forming elegant and elongated prismatic structures, Decked, Dame, Tall, Wide Hips, Round Face, Dark Skin, Honey Blonde Hair, green Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Double Braided Crown, round breasts, Faux gauge earrings, plum metallic lipstick
Aventurine, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Curtained, Siren, Average Height, Slim, Square Face, Tan Skin, Gray Hair, coral Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Messy Top Knot, asymmetrical breasts, Cuff earrings, teal gloss lipstick
Diamond, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Clothed in, Artist, Tall, Fit, Square Face, Tan Skin, Platinum Blonde Hair, turquoise Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Fine Hair, Bangs with Highlights, asymmetrical breasts, Faux gauge earrings, rust cream lipstick
Aventurine, Crystals that grow in elongated shapes, forming elegant and elongated prismatic structures, Clad, Duchess, Tall, Athletic, Diamond-Shaped Face, Tan Skin, White Hair, Brown Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Loose Curls, full breasts, Drop earrings, light pink stain lipstick
Turquoise, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Covered, Seductress, Tall, Fit, Heart-Shaped Face, Fair Skin, Platinum Blonde Hair, ruby Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Braided Crown, small breasts, Dangle earrings, cream satin lipstick
Pearl, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Garbed, Gal, Average Height, Slim, Oval Face, Fair Skin, Red Hair, blue Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, High Ponytail, saggy breasts, Faux gauge earrings, green cream lipstick
Coral, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Attired, Countess, Short, Wide Hips, Oval Face, Tan Skin, Light Brown Hair, blue Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Long Curly Hair, soft breasts, Faux gauge earrings, teal matte lipstick
Diamond, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Adorned with, Luminary, Short, Slim, Square Face, Olive Skin, Golden Blonde Hair, blue Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Braided Crown, asymmetrical breasts, Cuff earrings, grape stain lipstick
Jade, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Arrayed, Madam, Average Height, Firm, Oval Face, Olive Skin, Light Brown Hair, Sapphire Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Braided Headband, small breasts, Faux gauge earrings, violet satin lipstick
Tanzanite, Crystals that grow in elongated shapes, forming elegant and elongated prismatic structures, Bedizened, Vixen, Short, Wide Hips, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, teal Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Braided Updo, soft breasts, Huggie earrings, fuchsia gloss lipstick
Lapis Lazuli, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Clad, Enchantress, Average Height, Thin, Square Face, Dark Skin, Light Brown Hair, Amber Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Straight Updo, small breasts, Clip-on earrings, lavender velvet lipstick
Malachite, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Dressed, Temptress, Average Height, Lean, Round Face, Fair Skin, White Hair, Blue Eyes with Green Flecks, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Swept Bangs, soft breasts, Huggie earrings, peach cream lipstick
Emerald, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Embellished, Enchantress, Tall, Toned, Round Face, Fair Skin, Golden Blonde Hair, amber Eyes, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Beach Waves, asymmetrical breasts, , brown satin lipstick
Aventurine, A crystalized formation with jagged edges, resembling a miniature mountain range, Mantled, Femme fatale, Tall, Thin, Oval Face, Tan Skin, Brunette Hair, Gray Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Formal Updo, augmented breasts, Drop earrings, hot pink satin lipstick
Peridot, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Outfitted, Femme fatale, Tall, Athletic, Heart-Shaped Face, Dark Skin, Dark Brown Hair, jade Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Curly Hair, Boho Braid, asymmetrical breasts, , terracotta metallic lipstick
Sapphire, Transparent crystals that refract light, casting beautiful prisms and rainbows, Garbed, Superwoman, Tall, Wide Hips, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, silver Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Fluffy Afro, small breasts, Faux gauge earrings, lavender velvet lipstick
Quartz, A crystalized formation with jagged edges, resembling a miniature mountain range, Wrapped up, Enigma, Tall, Toned, Triangular Face, Dark Skin, Honey Blonde Hair, red Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Loose Curls, firm breasts, , red matte lipstick
Alexandrite, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Adorned, Babe, Tall, Thin, Square Face, Tan Skin, Golden Blonde Hair, teal Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Braided Crown, saggy breasts, Cuff earrings, cherry stain lipstick
Rhodochrosite, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Mantled, Artist, Short, Narrow Hips, Oval Face, Tan Skin, Black Hair, teal Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Sleek Bun, perky breasts, Dangle earrings, golden stain lipstick
Aquamarine, A crystalized formation with jagged edges, resembling a miniature mountain range, Embellished, Duchess, Short, Lean, Round Face, Fair Skin, Honey Blonde Hair, amethyst Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Boho Braid, asymmetrical breasts, Hoop earrings, magenta metallic lipstick
Aquamarine, A crystalized formation with sharp edges and intricate geometric patterns, Embellished, Woman, Tall, Skinny, Round Face, Olive Skin, Dark Brown Hair, pink Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Angled Bob, asymmetrical breasts, Dangle earrings, plum velvet lipstick
Iolite, Crystals that grow in clusters, creating a textured and multidimensional surface, Bedizened, Phenom, Short, Fit, Round Face, Dark Skin, Blonde Hair, Green Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, Sock Bun, round breasts, Huggie earrings, green velvet lipstick
Ruby, Crystals that grow in clusters, creating a textured and multidimensional surface, Attired, Female Viking, Tall, Narrow Hips, Square Face, Fair Skin, White Hair, jade Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Bangs with Highlights, large breasts, Clip-on earrings, magenta metallic lipstick
Turquoise, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Hooded, Vixen, Average Height, Athletic, Oval Face, Tan Skin, Brunette Hair, silver Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Wavy Layered Bob, soft breasts, Dangle earrings, brown satin lipstick
Sapphire, A crystalized specimen with a unique and rare formation, showcasing the wonders of mineralogy, Outfitted, Madame, Average Height, Skinny, Heart-Shaped Face, Tan Skin, White Hair, green Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Afro, saggy breasts, Faux gauge earrings, plum satin lipstick
Jade, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Togged, Sensation, Average Height, Narrow Hips, Triangular Face, Fair Skin, Silver Hair, light blue Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Lace Braid, perky breasts, Dangle earrings, teal matte lipstick
Moonstone, A crystalized formation with sharp edges and intricate geometric patterns, Covered, Baroness, Short, Athletic, Round Face, Olive Skin, White Hair, red Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Rope Braid, full breasts, Stud earrings, grape gloss lipstick
Amethyst, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Covered, Madame, Tall, Athletic, Triangular Face, Olive Skin, Brunette Hair, brown Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Sleek Straight Hair, firm breasts, Faux gauge earrings, brown stain lipstick
Emerald, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Bedizened, Superwoman, Average Height, Lean, Oval Face, Tan Skin, Gray Hair, pink Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid, perky breasts, Clip-on earrings, teal cream lipstick
Moonstone, Crystals that grow in clusters, creating a textured and multidimensional surface, Cloaked, Chanteuse, Short, Wide Hips, Square Face, Olive Skin, Dark Brown Hair, Brown Eyes with Green Flecks, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Lace Braid, saggy breasts, Threader earrings, berry gloss lipstick
Peridot, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Dressed, Phenom, Tall, Wide Hips, Round Face, Fair Skin, Auburn Hair, silver Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Waves, natural breasts, Faux gauge earrings, fuchsia satin lipstick
Amethyst, A crystalized surface with a smooth and glass-like texture, radiating an inner glow, Donned in, Enchantress, Average Height, in shape, Oval Face, Fair Skin, Golden Blonde Hair, amethyst Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Frohawk, natural breasts, Hoop earrings, peach cream lipstick
Ruby, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Bedizened, Mistress, Short, Thin, Square Face, Dark Skin, Strawberry Blonde Hair, coral Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Loose Waves, perky breasts, Hoop earrings, terracotta velvet lipstick
Tourmaline, A network of crystalized branches, capturing the beauty of nature's delicate formations, Habited, Gal, Tall, Thin, Oval Face, Fair Skin, Strawberry Blonde Hair, silver Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Fishbone Braid, natural breasts, Cuff earrings, pink cream lipstick
Obsidian, A network of crystalized branches, capturing the beauty of nature's delicate formations, Adorned, Belle, Average Height, Fit, Square Face, Fair Skin, Honey Blonde Hair, brown Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Waterfall Braid, saggy breasts, Faux gauge earrings, hot pink metallic lipstick
Tourmaline, A crystalized formation with jagged edges, resembling a miniature mountain range, Mantled, Diva, Short, Slim, Triangular Face, Fair Skin, Honey Blonde Hair, teal Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Formal Braided Updo, soft breasts, Huggie earrings, berry satin lipstick
Garnet, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Wrapped up, Lady, Average Height, in shape, Heart-Shaped Face, Tan Skin, Gray Hair, Brown Eyes with Green Flecks, Long Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Bouncy Curls, round breasts, Clip-on earrings, magenta stain lipstick
Malachite, Transparent crystals that refract light, casting beautiful prisms and rainbows, Hooded, Phenom, Tall, Wide Hips, Triangular Face, Dark Skin, Honey Blonde Hair, amethyst Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Middle Part Bangs, soft breasts, Stud earrings, green metallic lipstick
Tourmaline, A crystalized gem with facets that reflect and amplify light, creating a dazzling spectacle, Decked out, Starlet, Tall, Skinny, Square Face, Dark Skin, Silver Hair, grey-blue Eyes, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Messy Beach Waves, asymmetrical breasts, Dangle earrings, gloss gloss lipstick
Tanzanite, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Mantled, Lady, Tall, Narrow Hips, Diamond-Shaped Face, Olive Skin, Auburn Hair, pink Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Sleek Straight Hair, full breasts, Cuff earrings, hot pink matte lipstick
Amethyst, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Enveloped, Countess, Average Height, Firm, Diamond-Shaped Face, Tan Skin, Brunette Hair, red Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Braided Crown, saggy breasts, Threader earrings, coral gloss lipstick
Rhodochrosite, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Clad, Charmer, Tall, in shape, Heart-Shaped Face, Fair Skin, Chestnut Hair, coral Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Messy Beach Waves, small breasts, , brown velvet lipstick
Ruby, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Wearing, Siren, Average Height, Lean, Heart-Shaped Face, Olive Skin, Black Hair, amethyst Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Fishtail Crown Braid, augmented breasts, Drop earrings, rose gloss lipstick
Iolite, Crystals that form in druzy clusters, covering a surface with a blanket of sparkling beauty, Festooned, Escort, Average Height, Narrow Hips, Oval Face, Olive Skin, Honey Blonde Hair, pink Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Wedding Updo, full breasts, , coral matte lipstick
Alexandrite, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Clad, Female Warrior, Tall, Firm, Oval Face, Tan Skin, White Hair, red Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Low Updo, perky breasts, Huggie earrings, lavender sheer lipstick
Iolite, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Gowned, Madame, Tall, Slim, Round Face, Tan Skin, Silver Hair, red Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Sleek Bun, augmented breasts, Hoop earrings, orange sheer lipstick
Opal, A crystalized formation with jagged edges, resembling a miniature mountain range, Wrapped up, Countess, Tall, Narrow Hips, Square Face, Tan Skin, Auburn Hair, ruby Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, High Bun, round breasts, Dangle earrings, terracotta metallic lipstick
Obsidian, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Hooded, Queen, Short, Fit, Oval Face, Fair Skin, Strawberry Blonde Hair, brown Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Chignon, saggy breasts, Drop earrings, black velvet lipstick
Moonstone, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Enveloped, Temptress, Tall, Wide Hips, Round Face, Dark Skin, Silver Hair, dark brown Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Voluminous Waves, natural breasts, Cuff earrings, gloss velvet lipstick
Turquoise, A network of crystalized branches, capturing the beauty of nature's delicate formations, Dressed, Siren, Tall, Fit, Oval Face, Tan Skin, White Hair, ruby Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Low Messy Bun, large breasts, Stud earrings, shimmer metallic lipstick
Malachite, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Donned in, Luminary, Short, Narrow Hips, Heart-Shaped Face, Olive Skin, Light Brown Hair, Brown Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Voluminous Waves, round breasts, Hoop earrings, golden sheer lipstick
Garnet, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Adorned with, Sensation, Tall, Wide Hips, Round Face, Dark Skin, Honey Blonde Hair, dark brown Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Straight Bob with Layers, round breasts, Dangle earrings, teal sheer lipstick
Moonstone, Interlocking crystals that form a lattice-like structure, resembling a work of natural art, Veiled, Woman, Average Height, Toned, Oval Face, Fair Skin, Light Brown Hair, amber Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, French Roll, perky breasts, , cream cream lipstick
Turquoise, Intricate crystal formations that resemble frozen flowers, capturing the magic of nature, Cloaked, Madam, Short, Athletic, Oval Face, Fair Skin, Light Brown Hair, Gray Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Long Straight Hair, perky breasts, Dangle earrings, soft pink cream lipstick
Jade, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Garbed, Dame, Short, Athletic, Heart-Shaped Face, Dark Skin, Blonde Hair, yellow Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Sleek Waves, natural breasts, , black gloss lipstick
Coral, An array of crystalized structures, each reflecting a spectrum of vibrant colors, Clothed in, Siren, Average Height, Firm, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, red Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Messy Bun, large breasts, Hoop earrings, violet sheer lipstick
Agate, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Enrobed, Maven, Tall, in shape, Round Face, Fair Skin, Honey Blonde Hair, turquoise Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Afro, firm breasts, Hoop earrings, hot pink metallic lipstick
Hematite, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Bedecked, Enchantress, Short, in shape, Round Face, Tan Skin, Chestnut Hair, hazel Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Thick Hair, Curly Afro, small breasts, Dangle earrings, lavender cream lipstick
Jade, Crystals that form in a radial pattern, emanating from a central point like a burst of energy, Gowned, Heiress, Tall, Slim, Round Face, Fair Skin, Brunette Hair, ruby Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Stacked Bob, soft breasts, Hoop earrings, fuchsia sheer lipstick
Lapis Lazuli, Delicate crystals that sparkle and catch the light, creating a mesmerizing display, Draped, Temptress, Average Height, Athletic, Heart-Shaped Face, Fair Skin, Blonde Hair, light blue Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Sleek Waves, perky breasts, Threader earrings, burgundy metallic lipstick
Rhodochrosite, Transparent crystals that refract light, casting beautiful prisms and rainbows, Vestured, Queen, Tall, Slim, Heart-Shaped Face, Tan Skin, Chestnut Hair, teal Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Sleek Waves, full breasts, Huggie earrings, berry gloss lipstick
Amethyst, A crystalized structure with layers of intricate formations, resembling an otherworldly landscape, Bedraped, Babe, Average Height, Narrow Hips, Oval Face, Dark Skin, Gray Hair, red Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Short Afro, soft breasts, Hoop earrings, golden satin lipstick
Labradorite, A crystalized formation with a iridescent shimmer, changing colors as the light strikes from different angles, Habited, Femme fatale, Tall, Athletic, Round Face, Dark Skin, Silver Hair, Hazel Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Braided Updo, firm breasts, , peach matte lipstick
Agate, A cluster of crystals with a frost-like appearance, glistening like a winter wonderland, Veiled, Babe, Short, Thin, Triangular Face, Dark Skin, Blonde Hair, Green Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Messy Beach Waves, asymmetrical breasts, Threader earrings, hot pink cream lipstick
Hematite, A crystalized texture with a rough and faceted surface, displaying the raw beauty of natural minerals, Swathed, Temptress, Average Height, Firm, Triangular Face, Tan Skin, Blonde Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Wavy Bob, full breasts, Dangle earrings, silver metallic lipstick
Onyx, A network of crystalized branches, capturing the beauty of nature's delicate formations, Clothed in, Duchess, Tall, Firm, Triangular Face, Dark Skin, Black Hair, Sapphire Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Braided Updo, augmented breasts, Huggie earrings, light pink matte lipstick
