Diva, Average Height, Lean, Round Face, Olive Skin, Silver Hair, Green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, soft breasts, Hoop earrings, grape sheer lipstick,  inside ((  wearing  Golf pants and golf polo )), Dystopian metropolis
Woman, Average Height, Skinny, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, purple Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Sleek Bun, augmented breasts, Dangle earrings, mauve metallic lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Desolate lunar surface
Visionary, Tall, Firm, Heart-Shaped Face, Dark Skin, Dark Brown Hair, aquamarine Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Curled Bob, firm breasts, Huggie earrings, hot pink gloss lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Underwater research facility
Miss, Average Height, in shape, Oval Face, Fair Skin, Auburn Hair, peach Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Blunt Bangs, firm breasts, Clip-on earrings, burgundy metallic lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), Dystopian metropolis
Temptress, Average Height, Skinny, Diamond-Shaped Face, Dark Skin, Black Hair, red Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, French Roll, augmented breasts, Dangle earrings, light pink velvet lipstick,  inside ((  wearing  Track pants and running singlet )), Dystopian metropolis
Siren, Short, in shape, Triangular Face, Tan Skin, Black Hair, dark brown Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Beach Waves, small breasts, Hoop earrings, burgundy matte lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Giant space station
Escort, Short, Athletic, Square Face, Fair Skin, Black Hair, hazel Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Four-Strand Braid, full breasts, Clip-on earrings, berry metallic lipstick,  inside ((  wearing  Track pants and running singlet )), Jungle planet filled with dangerous creatures
Heiress, Short, Toned, Oval Face, Fair Skin, Red Hair, Blue Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Shaggy Cut, natural breasts, Cuff earrings, orange stain lipstick,  inside ((  wearing  Swimwear )), Alien planet with bioluminescent flora
Belle, Tall, Narrow Hips, Oval Face, Fair Skin, Gray Hair, grey Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Fishtail Braid, soft breasts, Stud earrings, lavender satin lipstick,  inside ((  wearing  Surfing wetsuit )), Underwater research facility
Female Viking, Tall, Firm, Triangular Face, Fair Skin, Platinum Blonde Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Fine Hair, Four-Strand Braid, firm breasts, Hoop earrings, teal velvet lipstick,  inside ((  wearing  Athletic skirt and racerback tank top )), City floating in the clouds
Seductress, Average Height, Slim, Diamond-Shaped Face, Tan Skin, White Hair, red Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Frohawk, small breasts, Cuff earrings, teal gloss lipstick,  inside ((  wearing  Running shorts and tank top )), Underwater research facility
Heiress, Average Height, Lean, Diamond-Shaped Face, Tan Skin, Blonde Hair, green Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Dutch Braid, natural breasts, Threader earrings, violet stain lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), City floating in the clouds
Female Viking, Average Height, Athletic, Square Face, Dark Skin, White Hair, yellow Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Blunt Bangs, natural breasts, Threader earrings, plum cream lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Desolate lunar surface
Trailblazer, Short, Fit, Square Face, Olive Skin, Golden Blonde Hair, gold Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Waterfall Braid, large breasts, Faux gauge earrings, coral metallic lipstick,  inside ((  wearing  Compression top and yoga pants )), Barren desert planet
Starlet, Tall, Fit, Oval Face, Fair Skin, Golden Blonde Hair, Green Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Long Curly Hair, soft breasts, Dangle earrings, magenta satin lipstick,  inside ((  wearing  Basketball shorts tank top and basketball jersey )), City floating in the clouds
Queen, Average Height, Fit, Round Face, Tan Skin, Black Hair, peach Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Half Up Half Down, asymmetrical breasts, Clip-on earrings, orange metallic lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Alien planet with bioluminescent flora
Chanteuse, Average Height, Skinny, Round Face, Fair Skin, Auburn Hair, black Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Loose Waves, asymmetrical breasts, Stud earrings, lavender matte lipstick,  inside ((  wearing  Surfing wetsuit )), Dystopian metropolis
Heiress, Short, Thin, Triangular Face, Fair Skin, Red Hair, green Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Messy Bun, soft breasts, Clip-on earrings, grape satin lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Barren desert planet
Artist, Tall, Skinny, Triangular Face, Fair Skin, Brunette Hair, purple Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Fine Hair, Long Curly Hair, asymmetrical breasts, Stud earrings, red gloss lipstick,  inside ((  wearing  Boxing leggings and boxing hoodie )), Underwater research facility
Visionary, Short, Athletic, Triangular Face, Fair Skin, Silver Hair, blue Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Lace Braid, soft breasts, Clip-on earrings, cream matte lipstick,  inside ((  wearing  High-impact sports bra mesh leggings and cropped hoodie )), Post-apocalyptic wasteland
Chanteuse, Average Height, Firm, Square Face, Fair Skin, Strawberry Blonde Hair, red Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Formal Braided Updo, augmented breasts, Hoop earrings, violet satin lipstick,  inside ((  wearing  Athletic dress )), Dystopian metropolis
Mistress, Tall, Lean, Oval Face, Tan Skin, Black Hair, aquamarine Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Formal Updo, large breasts, Dangle earrings, mauve velvet lipstick,  inside ((  wearing  Slimfit tracksuit )), Jungle planet filled with dangerous creatures
Femme fatale, Average Height, Thin, Round Face, Fair Skin, Platinum Blonde Hair, coral Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Bun, asymmetrical breasts, Clip-on earrings, beige metallic lipstick,  inside ((  wearing  Yoga pants and loose tank top )), City floating in the clouds
Empress, Average Height, Wide Hips, Round Face, Tan Skin, Golden Blonde Hair, ruby Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Double Braided Crown, saggy breasts, Huggie earrings, gloss stain lipstick,  inside ((  wearing  Cycling shorts and cycling jersey )), Desolate lunar surface
Belle, Tall, Skinny, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, green Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Side French Braid, large breasts, Faux gauge earrings, green cream lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Desolate lunar surface
Duchess, Average Height, Thin, Square Face, Dark Skin, Blonde Hair, Hazel Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Thick Hair, Messy Beach Waves, augmented breasts, , pink sheer lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Dystopian metropolis
Queen, Tall, Fit, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, Blue Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Straight Bob, full breasts, Threader earrings, coral satin lipstick,  inside ((  wearing  Track pants and running singlet )), City floating in the clouds
Diva, Short, in shape, Heart-Shaped Face, Tan Skin, White Hair, grey Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Shoulder-Length Curls, soft breasts, , silver metallic lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Dystopian metropolis
Female Viking, Average Height, Fit, Round Face, Fair Skin, Platinum Blonde Hair, yellow Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Fringed Bangs, full breasts, Threader earrings, hot pink cream lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Giant space station
Sensation, Tall, Fit, Square Face, Tan Skin, Gray Hair, black Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Loose Waves, large breasts, Huggie earrings, green satin lipstick,  inside ((  wearing  Bike shorts compression top and tank top )), Post-apocalyptic wasteland
Babe, Average Height, Slim, Round Face, Olive Skin, Platinum Blonde Hair, Green Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Lace Braid, asymmetrical breasts, Huggie earrings, rust cream lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), Frozen tundra with icy mountains
Songstress, Average Height, Thin, Oval Face, Olive Skin, Chestnut Hair, grey-blue Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Loose Waves, large breasts, Stud earrings, green cream lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Dystopian metropolis
Siren, Average Height, Wide Hips, Heart-Shaped Face, Tan Skin, White Hair, ice blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Braided Updo, small breasts, Threader earrings, gloss metallic lipstick,  inside ((  wearing  Crossfit shorts and crossfit tank top )), Dystopian metropolis
Enigma, Average Height, Athletic, Triangular Face, Olive Skin, Dark Brown Hair, blue Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Shaggy Cut, saggy breasts, Faux gauge earrings, rust stain lipstick,  inside ((  wearing  Sufring shorts and wetsuit top )), Dystopian metropolis
Diva, Tall, Slim, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, coral Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Top Knot, soft breasts, Threader earrings, orange cream lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Giant space station
Mistress, Average Height, Skinny, Oval Face, Tan Skin, Chestnut Hair, red Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Thick Hair, Long Curled Updo, saggy breasts, Threader earrings, golden matte lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Jungle planet filled with dangerous creatures
Chanteuse, Tall, Slim, Oval Face, Tan Skin, Dark Brown Hair, jade Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Curled Bob, full breasts, Faux gauge earrings, mauve satin lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Barren desert planet
Diva, Short, in shape, Square Face, Tan Skin, Blonde Hair, Green Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Wavy Hair, perky breasts, Dangle earrings, cream velvet lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Frozen tundra with icy mountains
Enchantress, Short, Firm, Heart-Shaped Face, Olive Skin, Brunette Hair, Amber Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Low Updo, large breasts, Threader earrings, grape satin lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Post-apocalyptic wasteland
Charmer, Average Height, Toned, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, ice blue Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Long Curled Updo, soft breasts, Drop earrings, lavender gloss lipstick,  inside ((  wearing  Running shorts and tank top )), Jungle planet filled with dangerous creatures
Duchess, Average Height, Wide Hips, Round Face, Olive Skin, Red Hair, amber Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Side Bangs, full breasts, Stud earrings, berry metallic lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Frozen tundra with icy mountains
Chanteuse, Average Height, Wide Hips, Triangular Face, Dark Skin, Platinum Blonde Hair, silver Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Ballerina Bun, full breasts, Huggie earrings, grape sheer lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Jungle planet filled with dangerous creatures
Trailblazer, Average Height, Narrow Hips, Triangular Face, Tan Skin, Brunette Hair, coral Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Low Ponytail, asymmetrical breasts, Stud earrings, terracotta stain lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Giant space station
Queen, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, Blue Eyes with Green Flecks, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Blunt Cut Bangs, round breasts, Threader earrings, light pink satin lipstick,  inside ((  wearing  Athletic skirt and racerback tank top )), Underwater research facility
Empress, Tall, in shape, Triangular Face, Fair Skin, Strawberry Blonde Hair, Hazel Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Curled Bob, small breasts, , red metallic lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Underwater research facility
Queen, Average Height, in shape, Oval Face, Olive Skin, Chestnut Hair, aquamarine Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Sleek Straight Hair, full breasts, Huggie earrings, burgundy metallic lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Barren desert planet
Maven, Average Height, Toned, Oval Face, Tan Skin, Platinum Blonde Hair, green Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Braided Headband, large breasts, Stud earrings, violet metallic lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Underwater research facility
Starlet, Short, Lean, Oval Face, Tan Skin, Silver Hair, Green Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Blunt Bangs, natural breasts, Hoop earrings, rust metallic lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Underwater research facility
Seductress, Average Height, Narrow Hips, Round Face, Olive Skin, Light Brown Hair, pink Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Wavy Layered Bob, firm breasts, Huggie earrings, cream matte lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Barren desert planet
Sensation, Tall, in shape, Triangular Face, Tan Skin, Brunette Hair, silver Eyes, Wide Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Low Messy Bun, saggy breasts, , mauve sheer lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), Barren desert planet
Artist, Average Height, Skinny, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, Hazel Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Fluffy Afro, asymmetrical breasts, Clip-on earrings, mauve sheer lipstick,  inside ((  wearing  Compression top and yoga pants )), Alien planet with bioluminescent flora
Lady, Average Height, Thin, Oval Face, Fair Skin, Silver Hair, dark brown Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Straight Bob with Layers, full breasts, Drop earrings, burgundy velvet lipstick,  inside ((  wearing  Golf pants and golf polo )), Giant space station
Diva, Average Height, Lean, Square Face, Tan Skin, Strawberry Blonde Hair, dark brown Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Layered Bob, full breasts, Drop earrings, lavender matte lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Frozen tundra with icy mountains
Phenom, Short, Skinny, Diamond-Shaped Face, Olive Skin, Black Hair, red Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Rope Braid, asymmetrical breasts, Faux gauge earrings, black velvet lipstick,  inside ((  wearing  Swimwear )), Desolate lunar surface
Lady, Short, Slim, Heart-Shaped Face, Dark Skin, Light Brown Hair, red Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Tapered Afro, asymmetrical breasts, , peach stain lipstick,  inside ((  wearing  Spandex shorts and compression top )), Alien planet with bioluminescent flora
Miss, Average Height, Wide Hips, Square Face, Fair Skin, Black Hair, light blue Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Donut Bun, small breasts, , red stain lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Alien planet with bioluminescent flora
Mistress, Short, Lean, Round Face, Tan Skin, Black Hair, Blue Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Blunt Bangs, asymmetrical breasts, Cuff earrings, orange velvet lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Post-apocalyptic wasteland
Femme fatale, Tall, Thin, Round Face, Fair Skin, Gray Hair, jade Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Fine Hair, Shaggy Cut, asymmetrical breasts, Threader earrings, terracotta metallic lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), Frozen tundra with icy mountains
Siren, Short, Athletic, Square Face, Olive Skin, Blonde Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Low Updo, perky breasts, Threader earrings, orange matte lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Alien planet with bioluminescent flora
Duchess, Tall, Wide Hips, Round Face, Dark Skin, Blonde Hair, silver Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Top Knot, saggy breasts, Cuff earrings, golden sheer lipstick,  inside ((  wearing  Athletic dress )), Jungle planet filled with dangerous creatures
Diva, Average Height, in shape, Round Face, Fair Skin, Brunette Hair, dark brown Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Middle Part Bangs, saggy breasts, Dangle earrings, fuchsia velvet lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), Alien planet with bioluminescent flora
Belle, Tall, Wide Hips, Triangular Face, Olive Skin, Red Hair, turquoise Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, perky breasts, Clip-on earrings, teal velvet lipstick,  inside ((  wearing  Sufring shorts and wetsuit top )), Underwater research facility
Vixen, Average Height, in shape, Square Face, Olive Skin, Auburn Hair, purple Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Side French Braid, augmented breasts, Huggie earrings, peach cream lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), City floating in the clouds
Female Warrior, Average Height, Narrow Hips, Diamond-Shaped Face, Fair Skin, Blonde Hair, blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Loose Waves, saggy breasts, Stud earrings, black matte lipstick,  inside ((  wearing  Capri leggings and racerback tank top )), Frozen tundra with icy mountains
Vixen, Short, Slim, Heart-Shaped Face, Olive Skin, White Hair, purple Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Braided Crown, soft breasts, Huggie earrings, berry cream lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Desolate lunar surface
Madam, Short, Slim, Round Face, Dark Skin, Gray Hair, purple Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Straight Bob, soft breasts, Huggie earrings, golden matte lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Dystopian metropolis
Goddess, Short, Toned, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, turquoise Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Braided Crown, saggy breasts, , brown sheer lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Post-apocalyptic wasteland
Diva, Short, Narrow Hips, Triangular Face, Olive Skin, Light Brown Hair, Hazel Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Fine Hair, Sleek Straight Hair, small breasts, Dangle earrings, rose stain lipstick,  inside ((  wearing  Swimwear )), Frozen tundra with icy mountains
Visionary, Tall, Toned, Round Face, Olive Skin, Golden Blonde Hair, Gray Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Afro, natural breasts, Stud earrings, pink gloss lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Dystopian metropolis
Femme fatale, Average Height, Thin, Diamond-Shaped Face, Fair Skin, Brunette Hair, Blue Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Lace Braid, saggy breasts, Threader earrings, magenta sheer lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Alien planet with bioluminescent flora
Seductress, Short, Narrow Hips, Triangular Face, Dark Skin, Silver Hair, Hazel Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Blunt Bangs, small breasts, Huggie earrings, terracotta sheer lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Desolate lunar surface
Maven, Average Height, Toned, Triangular Face, Fair Skin, Golden Blonde Hair, silver Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Low Chignon, saggy breasts, Threader earrings, magenta gloss lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Frozen tundra with icy mountains
Femme fatale, Short, in shape, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, Brown Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Loose Curls, natural breasts, Threader earrings, coral velvet lipstick,  inside ((  wearing  Yoga pants and loose tank top )), City floating in the clouds
Madame, Short, in shape, Round Face, Fair Skin, Red Hair, aquamarine Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fluffy Afro, saggy breasts, Faux gauge earrings, burgundy stain lipstick,  inside ((  wearing  Surfing wetsuit )), Alien planet with bioluminescent flora
Diva, Short, Toned, Oval Face, Tan Skin, Blonde Hair, amethyst Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Messy Bun, saggy breasts, Stud earrings, gloss velvet lipstick,  inside ((  wearing  Track pants and running singlet )), Jungle planet filled with dangerous creatures
Miss, Tall, Slim, Heart-Shaped Face, Olive Skin, Red Hair, turquoise Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Wavy Bob, full breasts, Drop earrings, fuchsia satin lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Desolate lunar surface
Babe, Average Height, in shape, Round Face, Olive Skin, Golden Blonde Hair, Blue Eyes with Green Flecks, Narrow Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Tousled Waves, small breasts, Hoop earrings, cherry matte lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Frozen tundra with icy mountains
Superwoman, Tall, Toned, Heart-Shaped Face, Dark Skin, Light Brown Hair, gold Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, round breasts, Dangle earrings, lavender matte lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Desolate lunar surface
Duchess, Tall, Slim, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, silver Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Wavy Hair, Updo, soft breasts, Faux gauge earrings, cream sheer lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Post-apocalyptic wasteland
Madam, Short, Skinny, Triangular Face, Tan Skin, Honey Blonde Hair, coral Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, French Roll, saggy breasts, Stud earrings, beige satin lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Jungle planet filled with dangerous creatures
Empress, Short, Skinny, Round Face, Tan Skin, Blonde Hair, Gray Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Side-Swept Bangs, augmented breasts, Faux gauge earrings, brown satin lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Desolate lunar surface
Diva, Short, Athletic, Oval Face, Olive Skin, White Hair, hazel Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Blunt Cut Bangs, perky breasts, Faux gauge earrings, rust cream lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), Dystopian metropolis
Duchess, Short, Fit, Square Face, Fair Skin, White Hair, peach Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Low Updo, natural breasts, Threader earrings, beige sheer lipstick,  inside ((  wearing  Slimfit tracksuit )), Alien planet with bioluminescent flora
Lady, Tall, Narrow Hips, Square Face, Tan Skin, Gray Hair, turquoise Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Layered Bob, asymmetrical breasts, Huggie earrings, orange gloss lipstick,  inside ((  wearing  Softball shorts and softball jersey )), City floating in the clouds
Temptress, Average Height, Thin, Square Face, Dark Skin, Light Brown Hair, dark brown Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Chignon, soft breasts, Threader earrings, cream metallic lipstick,  inside ((  wearing  Athletic skirt and racerback tank top )), Post-apocalyptic wasteland
Escort, Average Height, Thin, Triangular Face, Fair Skin, Golden Blonde Hair, dark brown Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Long Wavy Hair, small breasts, Drop earrings, hot pink matte lipstick,  inside ((  wearing  Zumba pants and dance tank top )), City floating in the clouds
Vixen, Average Height, Skinny, Triangular Face, Fair Skin, Black Hair, ruby Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Shoulder-Length Curls, augmented breasts, Hoop earrings, fuchsia sheer lipstick,  inside ((  wearing  Softball shorts and softball jersey )), City floating in the clouds
Mistress, Average Height, Fit, Round Face, Tan Skin, Red Hair, brown Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Straight Bob, large breasts, Clip-on earrings, fuchsia gloss lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Underwater research facility
Goddess, Average Height, Athletic, Diamond-Shaped Face, Tan Skin, White Hair, Hazel Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fishtail Crown Braid, soft breasts, Stud earrings, rust velvet lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Dystopian metropolis
Artist, Average Height, Fit, Oval Face, Fair Skin, Golden Blonde Hair, Brown Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Straight Bob with Layers, natural breasts, Hoop earrings, fuchsia metallic lipstick,  inside ((  wearing  Basketball shorts tank top and basketball jersey )), Dystopian metropolis
Superwoman, Tall, Slim, Oval Face, Olive Skin, Chestnut Hair, Gray Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Bouncy Curls, asymmetrical breasts, Drop earrings, cream metallic lipstick,  inside ((  wearing  Compression top and yoga pants )), Dystopian metropolis
