Sundresses, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
Maxi dresses, Chanteuse, Average Height, Wide Hips, Heart-Shaped Face, Tan Skin, Dark Brown Hair, Sapphire Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Messy Beach Waves, asymmetrical breasts, , grape cream lipstick
Sleeveless dresses, Sensation, Average Height, Firm, Square Face, Fair Skin, White Hair, ice blue Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Low Chignon, large breasts, Threader earrings, black sheer lipstick
Spaghetti strap dresses, Gal, Tall, Skinny, Round Face, Fair Skin, Brunette Hair, light blue Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Sock Bun, large breasts, Clip-on earrings, peach velvet lipstick
Halter dresses, Sensation, Short, Firm, Triangular Face, Tan Skin, Light Brown Hair, grey Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Herringbone Braid, large breasts, Clip-on earrings, red cream lipstick
Caftans, Queen, Tall, Skinny, Oval Face, Fair Skin, Black Hair, Gray Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Voluminous Waves, augmented breasts, Clip-on earrings, teal sheer lipstick
Sleeveless dresses, Belle, Short, Narrow Hips, Round Face, Tan Skin, Auburn Hair, Hazel Eyes with Green Flecks, Long Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Rope Braid, round breasts, , rust velvet lipstick
Wrap dresses, Chanteuse, Average Height, Slim, Triangular Face, Olive Skin, Strawberry Blonde Hair, gold Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Curly Hair, Rope Braid, natural breasts, , gloss sheer lipstick
Off-the-shoulder dresses, Temptress, Average Height, Thin, Oval Face, Dark Skin, Platinum Blonde Hair, ice blue Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, High Messy Bun, full breasts, Dangle earrings, brown cream lipstick
Strapless dresses, Enchantress, Short, Lean, Triangular Face, Fair Skin, Auburn Hair, Hazel Eyes with Green Flecks, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Straight Bob with Layers, soft breasts, Threader earrings, silver metallic lipstick
Rompers, Madame, Short, Firm, Round Face, Olive Skin, Blonde Hair, pink Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Swept Bangs, perky breasts, Hoop earrings, beige velvet lipstick
Short dresses, Miss, Tall, Athletic, Oval Face, Olive Skin, Auburn Hair, aquamarine Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Lace Braid, large breasts, Stud earrings, magenta velvet lipstick
Rompers, Lady, Average Height, Toned, Diamond-Shaped Face, Tan Skin, Black Hair, brown Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Long Curled Updo, asymmetrical breasts, Dangle earrings, grape velvet lipstick
Rompers, Queen, Average Height, Firm, Square Face, Olive Skin, Blonde Hair, peach Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Straight Bob, full breasts, Faux gauge earrings, golden satin lipstick
Halter dresses, Visionary, Short, Wide Hips, Diamond-Shaped Face, Fair Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Layered Bob, asymmetrical breasts, Stud earrings, berry velvet lipstick
Caftans, Goddess, Tall, Firm, Round Face, Dark Skin, Brunette Hair, Gray Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Formal Updo, firm breasts, , magenta sheer lipstick
Rompers, Temptress, Average Height, Narrow Hips, Triangular Face, Fair Skin, Platinum Blonde Hair, aquamarine Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Twisted Bun, full breasts, Huggie earrings, berry velvet lipstick
Wrap dresses, Maven, Short, Athletic, Diamond-Shaped Face, Dark Skin, Platinum Blonde Hair, silver Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Curly Afro, natural breasts, Faux gauge earrings, cream stain lipstick
Maxi dresses, Chanteuse, Tall, Skinny, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, Sapphire Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Frohawk, small breasts, Hoop earrings, hot pink velvet lipstick
Short dresses, Maven, Tall, Skinny, Square Face, Olive Skin, White Hair, grey Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Shaggy Cut, full breasts, , coral sheer lipstick
Rompers, Charmer, Tall, Narrow Hips, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, brown Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Shoulder-Length Curls, perky breasts, Stud earrings, cherry metallic lipstick
Halter dresses, Luminary, Average Height, Narrow Hips, Oval Face, Fair Skin, Golden Blonde Hair, green Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Straight Updo, round breasts, Stud earrings, rust satin lipstick
Strapless dresses, Heiress, Short, Athletic, Square Face, Fair Skin, Honey Blonde Hair, gold Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Formal Updo, saggy breasts, Hoop earrings, berry sheer lipstick
Spaghetti strap dresses, Enchantress, Short, Fit, Diamond-Shaped Face, Olive Skin, Light Brown Hair, aquamarine Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Triple Braided Crown, small breasts, Stud earrings, lavender sheer lipstick
Sleeveless dresses, Superwoman, Short, Thin, Oval Face, Tan Skin, Honey Blonde Hair, coral Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Sleek Waves, soft breasts, , violet satin lipstick
Wrap dresses, Madam, Tall, Fit, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, turquoise Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Shaggy Cut, perky breasts, Hoop earrings, coral sheer lipstick
Maxi dresses, Sensation, Short, Thin, Square Face, Tan Skin, Golden Blonde Hair, purple Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Swept Bangs, asymmetrical breasts, Hoop earrings, coral velvet lipstick
Sleeveless dresses, Starlet, Average Height, Fit, Diamond-Shaped Face, Dark Skin, Red Hair, Green Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Fishbone Braid, asymmetrical breasts, Faux gauge earrings, grape velvet lipstick
Short dresses, Baroness, Short, Firm, Diamond-Shaped Face, Tan Skin, Gray Hair, jade Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Fishbone Braid, soft breasts, Huggie earrings, fuchsia matte lipstick
Wrap dresses, Belle, Tall, Firm, Round Face, Fair Skin, White Hair, aquamarine Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Bangs with Highlights, small breasts, Huggie earrings, brown gloss lipstick
Sundresses, Queen, Average Height, Wide Hips, Diamond-Shaped Face, Dark Skin, Gray Hair, Gray Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Side Bangs, soft breasts, Threader earrings, light pink gloss lipstick
Caftans, Phenom, Short, in shape, Round Face, Dark Skin, Dark Brown Hair, Brown Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Donut Bun, firm breasts, , soft pink matte lipstick
Caftans, Vixen, Average Height, in shape, Triangular Face, Fair Skin, Black Hair, black Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Afro, perky breasts, Hoop earrings, rust cream lipstick
Strapless dresses, Female Viking, Short, Athletic, Round Face, Fair Skin, Chestnut Hair, purple Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Formal Braided Updo, round breasts, Huggie earrings, pink satin lipstick
Caftans, Gal, Tall, Firm, Round Face, Dark Skin, Honey Blonde Hair, dark brown Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Straight Bob with Layers, large breasts, Huggie earrings, peach matte lipstick
Off-the-shoulder dresses, Superwoman, Short, Fit, Round Face, Tan Skin, Golden Blonde Hair, green Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Side-Swept Bangs, soft breasts, Huggie earrings, hot pink stain lipstick
Sleeveless dresses, Queen, Average Height, Wide Hips, Triangular Face, Dark Skin, Platinum Blonde Hair, teal Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Viking Braid, saggy breasts, Hoop earrings, grape stain lipstick
Spaghetti strap dresses, Woman, Short, in shape, Oval Face, Dark Skin, Gray Hair, hazel Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Braided Half Up, saggy breasts, Huggie earrings, plum stain lipstick
Off-the-shoulder dresses, Heiress, Average Height, Lean, Square Face, Fair Skin, Silver Hair, green Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fringed Bangs, augmented breasts, , mauve matte lipstick
Strapless dresses, Enchantress, Average Height, Slim, Heart-Shaped Face, Dark Skin, Gray Hair, amber Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Angled Bob, large breasts, Drop earrings, berry satin lipstick
Off-the-shoulder dresses, Madame, Short, in shape, Oval Face, Dark Skin, Golden Blonde Hair, Blue Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Twisted Bun, firm breasts, Dangle earrings, golden velvet lipstick
Sleeveless dresses, Duchess, Average Height, Skinny, Triangular Face, Tan Skin, Black Hair, silver Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Curled Updo, small breasts, Faux gauge earrings, burgundy stain lipstick
Sleeveless dresses, Femme fatale, Short, in shape, Round Face, Dark Skin, Gray Hair, turquoise Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Fishbone Braid, large breasts, Cuff earrings, soft pink matte lipstick
Short dresses, Phenom, Average Height, Fit, Heart-Shaped Face, Fair Skin, Brunette Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Coarse Hair, Wedding Updo, natural breasts, Dangle earrings, black metallic lipstick
Wrap dresses, Diva, Tall, Narrow Hips, Square Face, Tan Skin, Platinum Blonde Hair, gold Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, High Bun, soft breasts, Dangle earrings, fuchsia velvet lipstick
Sleeveless dresses, Female Viking, Tall, Fit, Triangular Face, Olive Skin, Red Hair, ruby Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Chignon, saggy breasts, Cuff earrings, peach satin lipstick
Halter dresses, Phenom, Average Height, Toned, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo, round breasts, Huggie earrings, terracotta stain lipstick
Strapless dresses, Female Warrior, Tall, in shape, Square Face, Fair Skin, White Hair, yellow Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Chignon, asymmetrical breasts, Faux gauge earrings, berry metallic lipstick
Strapless dresses, Duchess, Tall, Toned, Round Face, Dark Skin, Light Brown Hair, amethyst Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Viking Braid, firm breasts, Faux gauge earrings, berry velvet lipstick
Sleeveless dresses, Visionary, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Light Brown Hair, blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Half Up Half Down, saggy breasts, Drop earrings, teal sheer lipstick
Caftans, Visionary, Tall, Toned, Heart-Shaped Face, Tan Skin, Red Hair, Hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Bangs with Highlights, natural breasts, Hoop earrings, magenta gloss lipstick
Caftans, Enigma, Tall, Firm, Diamond-Shaped Face, Dark Skin, Chestnut Hair, pink Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Straight Hair, Messy Beach Waves, large breasts, Hoop earrings, golden stain lipstick
Off-the-shoulder dresses, Babe, Average Height, in shape, Heart-Shaped Face, Olive Skin, Gray Hair, dark brown Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Messy Beach Waves, full breasts, , beige satin lipstick
Caftans, Artist, Average Height, Wide Hips, Triangular Face, Fair Skin, Auburn Hair, Brown Eyes with Green Flecks, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Straight Bob, saggy breasts, Huggie earrings, grape sheer lipstick
Maxi dresses, Seductress, Average Height, Narrow Hips, Heart-Shaped Face, Fair Skin, Auburn Hair, teal Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Sock Bun, natural breasts, Faux gauge earrings, red metallic lipstick
Off-the-shoulder dresses, Baroness, Average Height, Lean, Square Face, Fair Skin, Blonde Hair, Gray Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Side French Braid, augmented breasts, Faux gauge earrings, berry velvet lipstick
Off-the-shoulder dresses, Madam, Average Height, Toned, Square Face, Olive Skin, Platinum Blonde Hair, green Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, High Chignon, large breasts, Cuff earrings, golden velvet lipstick
Maxi dresses, Maven, Short, Fit, Heart-Shaped Face, Olive Skin, Gray Hair, Blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, French Twist, large breasts, Stud earrings, soft pink velvet lipstick
Sleeveless dresses, Countess, Average Height, Wide Hips, Square Face, Tan Skin, Golden Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Twisted Bun, soft breasts, Drop earrings, light pink gloss lipstick
Short dresses, Visionary, Average Height, Toned, Heart-Shaped Face, Tan Skin, Silver Hair, pink Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Fishbone Braid, natural breasts, Huggie earrings, golden stain lipstick
Short dresses, Diva, Tall, Firm, Square Face, Fair Skin, Black Hair, silver Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, natural breasts, Huggie earrings, golden gloss lipstick
Sundresses, Phenom, Short, Fit, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, coral Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Side-Swept Bangs, large breasts, Faux gauge earrings, lavender matte lipstick
Sundresses, Gal, Tall, Fit, Triangular Face, Fair Skin, Auburn Hair, amethyst Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Chignon, soft breasts, Hoop earrings, lavender sheer lipstick
Short dresses, Enigma, Tall, Thin, Diamond-Shaped Face, Dark Skin, Auburn Hair, Hazel Eyes with Green Flecks, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Ballerina Bun, full breasts, Cuff earrings, orange metallic lipstick
Rompers, Lady, Short, Wide Hips, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, Sapphire Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, French Roll, small breasts, Hoop earrings, magenta gloss lipstick
Halter dresses, Baroness, Average Height, Fit, Triangular Face, Olive Skin, Strawberry Blonde Hair, Brown Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Boho Braid, small breasts, Stud earrings, rust metallic lipstick
Rompers, Miss, Short, Fit, Oval Face, Olive Skin, Brunette Hair, Gray Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Curled Bob, large breasts, Drop earrings, rust stain lipstick
Strapless dresses, Trailblazer, Average Height, Thin, Diamond-Shaped Face, Olive Skin, Chestnut Hair, gold Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Herringbone Braid, full breasts, Stud earrings, orange gloss lipstick
Caftans, Diva, Tall, Slim, Triangular Face, Fair Skin, Silver Hair, blue Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Shoulder-Length Curls, augmented breasts, Huggie earrings, lavender metallic lipstick
Jumpsuits, Luminary, Average Height, Toned, Heart-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fishtail Braid, soft breasts, Faux gauge earrings, soft pink velvet lipstick
Off-the-shoulder dresses, Duchess, Tall, Toned, Square Face, Olive Skin, Auburn Hair, Hazel Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Top Knot, natural breasts, Clip-on earrings, pink velvet lipstick
Maxi dresses, Woman, Short, in shape, Oval Face, Dark Skin, Blonde Hair, teal Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Long Wavy Hair, augmented breasts, Hoop earrings, berry gloss lipstick
Wrap dresses, Superwoman, Short, Skinny, Triangular Face, Dark Skin, Red Hair, dark brown Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Long Straight Hair, natural breasts, Hoop earrings, brown metallic lipstick
Off-the-shoulder dresses, Diva, Short, Firm, Diamond-Shaped Face, Dark Skin, White Hair, Gray Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Waterfall Braid, augmented breasts, Cuff earrings, red velvet lipstick
Halter dresses, Miss, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Blonde Hair, amber Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fishbone Braid, full breasts, Dangle earrings, fuchsia stain lipstick
Halter dresses, Female Warrior, Short, Thin, Oval Face, Fair Skin, Honey Blonde Hair, purple Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Tousled Waves, full breasts, Drop earrings, orange stain lipstick
Sleeveless dresses, Superwoman, Tall, in shape, Square Face, Olive Skin, Strawberry Blonde Hair, green Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, High Bun, round breasts, Dangle earrings, hot pink satin lipstick
Strapless dresses, Gal, Short, Slim, Square Face, Olive Skin, Brunette Hair, Green Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Afro, saggy breasts, Hoop earrings, red metallic lipstick
Caftans, Duchess, Short, Narrow Hips, Round Face, Olive Skin, Light Brown Hair, grey Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Viking Braid, natural breasts, Clip-on earrings, hot pink matte lipstick
Short dresses, Enigma, Tall, Fit, Triangular Face, Fair Skin, Gray Hair, Blue Eyes with Green Flecks, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Swept Bangs, full breasts, , magenta metallic lipstick
Jumpsuits, Female Viking, Short, Wide Hips, Square Face, Fair Skin, Golden Blonde Hair, purple Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, round breasts, Threader earrings, berry metallic lipstick
Short dresses, Luminary, Average Height, Athletic, Heart-Shaped Face, Olive Skin, Gray Hair, brown Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Beach Waves, soft breasts, Drop earrings, black satin lipstick
Sundresses, Baroness, Average Height, Skinny, Oval Face, Tan Skin, Strawberry Blonde Hair, Brown Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Wavy Bob, full breasts, Cuff earrings, soft pink gloss lipstick
Wrap dresses, Babe, Short, Skinny, Square Face, Dark Skin, Honey Blonde Hair, Blue Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Fishtail Braid, round breasts, Threader earrings, peach gloss lipstick
Off-the-shoulder dresses, Trailblazer, Short, Slim, Triangular Face, Tan Skin, Strawberry Blonde Hair, Brown Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, High Ponytail, saggy breasts, Faux gauge earrings, soft pink cream lipstick
Wrap dresses, Femme fatale, Average Height, Athletic, Oval Face, Fair Skin, Light Brown Hair, Brown Eyes with Green Flecks, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Blunt Bangs, firm breasts, Faux gauge earrings, red velvet lipstick
Rompers, Charmer, Tall, Slim, Triangular Face, Dark Skin, Red Hair, red Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Ballerina Bun, natural breasts, Threader earrings, cherry stain lipstick
Spaghetti strap dresses, Chanteuse, Average Height, Slim, Triangular Face, Tan Skin, Golden Blonde Hair, teal Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Long Curled Updo, natural breasts, Drop earrings, burgundy matte lipstick
Rompers, Gal, Average Height, Slim, Round Face, Dark Skin, Strawberry Blonde Hair, coral Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Sleek Waves, large breasts, Huggie earrings, burgundy gloss lipstick
Sundresses, Escort, Short, Firm, Oval Face, Tan Skin, Silver Hair, Hazel Eyes with Green Flecks, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Messy Beach Waves, round breasts, Threader earrings, cream velvet lipstick
Sundresses, Babe, Average Height, Firm, Heart-Shaped Face, Dark Skin, Brunette Hair, amber Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Bouncy Curls, full breasts, Faux gauge earrings, black cream lipstick
Spaghetti strap dresses, Lady, Tall, Fit, Round Face, Fair Skin, Strawberry Blonde Hair, grey Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Fishbone Braid, soft breasts, Cuff earrings, orange velvet lipstick
Spaghetti strap dresses, Goddess, Average Height, Toned, Round Face, Dark Skin, Dark Brown Hair, green Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Rope Braid, small breasts, Cuff earrings, magenta matte lipstick
Spaghetti strap dresses, Seductress, Short, Skinny, Oval Face, Tan Skin, Red Hair, brown Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Long Curled Updo, full breasts, Threader earrings, teal gloss lipstick
Short dresses, Maven, Short, in shape, Diamond-Shaped Face, Tan Skin, Brunette Hair, Sapphire Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Bouncy Curls, asymmetrical breasts, Faux gauge earrings, pink cream lipstick
Short dresses, Baroness, Short, Narrow Hips, Oval Face, Tan Skin, Auburn Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Fine Hair, Afro, full breasts, Clip-on earrings, fuchsia sheer lipstick
Strapless dresses, Artist, Short, Toned, Square Face, Dark Skin, Silver Hair, peach Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Formal Updo, full breasts, , shimmer metallic lipstick
Wrap dresses, Trailblazer, Short, Firm, Heart-Shaped Face, Tan Skin, Blonde Hair, Sapphire Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Afro, saggy breasts, , golden sheer lipstick
Wrap dresses, Vixen, Average Height, in shape, Diamond-Shaped Face, Olive Skin, Auburn Hair, brown Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo, saggy breasts, Drop earrings, plum cream lipstick
Wrap dresses, Mistress, Average Height, Thin, Triangular Face, Fair Skin, Red Hair, black Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Herringbone Braid, augmented breasts, Threader earrings, terracotta velvet lipstick
Off-the-shoulder dresses, Chanteuse, Tall, Fit, Round Face, Tan Skin, Brunette Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, small breasts, Cuff earrings, black stain lipstick
Caftans, Woman, Average Height, Wide Hips, Round Face, Tan Skin, Black Hair, ice blue Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Sleek Bun, perky breasts, Stud earrings, rust sheer lipstick
Short dresses, Enchantress, Short, Thin, Heart-Shaped Face, Olive Skin, Silver Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Straight Updo, firm breasts, Drop earrings, fuchsia satin lipstick
Spaghetti strap dresses, Escort, Average Height, Athletic, Oval Face, Tan Skin, Golden Blonde Hair, brown Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Updo, firm breasts, Hoop earrings, gloss gloss lipstick
Spaghetti strap dresses, Chanteuse, Average Height, Narrow Hips, Triangular Face, Tan Skin, Strawberry Blonde Hair, yellow Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Fauxhawk, augmented breasts, Faux gauge earrings, berry stain lipstick
Off-the-shoulder dresses, Diva, Short, Skinny, Round Face, Tan Skin, Gray Hair, amber Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Fishbone Braid, round breasts, Faux gauge earrings, rust velvet lipstick
Wrap dresses, Mistress, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Black Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, natural breasts, Drop earrings, berry matte lipstick
Caftans, Countess, Average Height, Lean, Heart-Shaped Face, Tan Skin, Chestnut Hair, Amber Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Bouncy Curls, round breasts, Drop earrings, light pink matte lipstick
Spaghetti strap dresses, Heiress, Average Height, Athletic, Round Face, Olive Skin, Blonde Hair, grey-blue Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, High Messy Bun, large breasts, Dangle earrings, orange metallic lipstick
Spaghetti strap dresses, Miss, Short, Thin, Square Face, Tan Skin, Platinum Blonde Hair, ice blue Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, small breasts, Hoop earrings, lavender sheer lipstick
Strapless dresses, Charmer, Average Height, Wide Hips, Heart-Shaped Face, Olive Skin, Silver Hair, silver Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, small breasts, Huggie earrings, grape gloss lipstick
Spaghetti strap dresses, Miss, Short, Thin, Round Face, Olive Skin, Light Brown Hair, Amber Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Boho Braid, round breasts, , lavender gloss lipstick
Caftans, Sensation, Short, Firm, Triangular Face, Fair Skin, Gray Hair, Blue Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Double Braided Crown, asymmetrical breasts, Hoop earrings, hot pink cream lipstick
