autumn, A long cardigan with a tank top, leggings, and boots, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
summer, A structured jumpsuit with espadrilles and a scarf, Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, grey-blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Ballerina Bun, round breasts, Threader earrings, pink matte lipstick
summer, An oversized denim jacket with white jeans and strappy sandals, Sensation, Average Height, Firm, Square Face, Fair Skin, White Hair, ice blue Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Low Chignon, large breasts, Threader earrings, black sheer lipstick
autumn, A wrap dress with heeled booties, Gal, Tall, Skinny, Round Face, Fair Skin, Brunette Hair, light blue Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Sock Bun, large breasts, Clip-on earrings, peach velvet lipstick
summer, A midi skirt with a tucked in tank and slides, Sensation, Short, Firm, Triangular Face, Tan Skin, Light Brown Hair, grey Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Herringbone Braid, large breasts, Clip-on earrings, red cream lipstick
autumn, A midi skirt with a tucked in blouse and ankle boots, Queen, Tall, Skinny, Oval Face, Fair Skin, Black Hair, Gray Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Voluminous Waves, augmented breasts, Clip-on earrings, teal sheer lipstick
autumn, A printed romper with heeled boots and a fedora, Belle, Short, Narrow Hips, Round Face, Tan Skin, Auburn Hair, Hazel Eyes with Green Flecks, Long Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Rope Braid, round breasts, , rust velvet lipstick
autumn, A striped jumpsuit with an oversized sweater, Chanteuse, Average Height, Slim, Triangular Face, Olive Skin, Strawberry Blonde Hair, gold Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Curly Hair, Rope Braid, natural breasts, , gloss sheer lipstick
summer, A sundress with flat sandals and a sun hat, Temptress, Average Height, Thin, Oval Face, Dark Skin, Platinum Blonde Hair, ice blue Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, High Messy Bun, full breasts, Dangle earrings, brown cream lipstick
spring, A wrap dress with espadrille wedges, Enchantress, Short, Lean, Triangular Face, Fair Skin, Auburn Hair, Hazel Eyes with Green Flecks, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Straight Bob with Layers, soft breasts, Threader earrings, silver metallic lipstick
winter, Turtleneck sweater with a puffer jacket and snow pants, Madame, Short, Firm, Round Face, Olive Skin, Blonde Hair, pink Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Swept Bangs, perky breasts, Hoop earrings, beige velvet lipstick
autumn, A button-down dress with a scarf and loafers, Miss, Tall, Athletic, Oval Face, Olive Skin, Auburn Hair, aquamarine Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Lace Braid, large breasts, Stud earrings, magenta velvet lipstick
summer, A linen blazer with a tank top and white jeans, Lady, Average Height, Toned, Diamond-Shaped Face, Tan Skin, Black Hair, brown Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Long Curled Updo, asymmetrical breasts, Dangle earrings, grape velvet lipstick
summer, A tank top with a maxi skirt and sandals, Queen, Average Height, Firm, Square Face, Olive Skin, Blonde Hair, peach Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Straight Bob, full breasts, Faux gauge earrings, golden satin lipstick
winter, Turtleneck sweater with a long skirt and ankle boots, Visionary, Short, Wide Hips, Diamond-Shaped Face, Fair Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Layered Bob, asymmetrical breasts, Stud earrings, berry velvet lipstick
summer, A maxi dress with sandals, Goddess, Tall, Firm, Round Face, Dark Skin, Brunette Hair, Gray Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Formal Updo, firm breasts, , magenta sheer lipstick
autumn, A tweed blazer with a white tee and jeans, Temptress, Average Height, Narrow Hips, Triangular Face, Fair Skin, Platinum Blonde Hair, aquamarine Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Twisted Bun, full breasts, Huggie earrings, berry velvet lipstick
winter, A wrap dress with booties and a belt, Maven, Short, Athletic, Diamond-Shaped Face, Dark Skin, Platinum Blonde Hair, silver Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Curly Afro, natural breasts, Faux gauge earrings, cream stain lipstick
summer, A tank top with shorts and sneakers, Chanteuse, Tall, Skinny, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, Sapphire Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Frohawk, small breasts, Hoop earrings, hot pink velvet lipstick
spring, A button-down shirt with white pants and sandals, Maven, Tall, Skinny, Square Face, Olive Skin, White Hair, grey Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Shaggy Cut, full breasts, , coral sheer lipstick
spring, A structured jumpsuit with strappy sandals and a statement necklace, Charmer, Tall, Narrow Hips, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, brown Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Shoulder-Length Curls, perky breasts, Stud earrings, cherry metallic lipstick
winter, A collared shirt with a pleated skirt and ankle boots, Luminary, Average Height, Narrow Hips, Oval Face, Fair Skin, Golden Blonde Hair, green Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Straight Updo, round breasts, Stud earrings, rust satin lipstick
spring, A button-down shirt with white pants and sandals, Heiress, Short, Athletic, Square Face, Fair Skin, Honey Blonde Hair, gold Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Formal Updo, saggy breasts, Hoop earrings, berry sheer lipstick
summer, A linen blazer with a tank top and white jeans, Enchantress, Short, Fit, Diamond-Shaped Face, Olive Skin, Light Brown Hair, aquamarine Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Triple Braided Crown, small breasts, Stud earrings, lavender sheer lipstick
autumn, A plaid shirt with leggings and tall boots, Superwoman, Short, Thin, Oval Face, Tan Skin, Honey Blonde Hair, coral Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Sleek Waves, soft breasts, , violet satin lipstick
autumn, A midi skirt with a tucked in turtleneck and ankle boots, Madam, Tall, Fit, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, turquoise Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Shaggy Cut, perky breasts, Hoop earrings, coral sheer lipstick
autumn, A tweed blazer with a white tee and jeans, Sensation, Short, Thin, Square Face, Tan Skin, Golden Blonde Hair, purple Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Swept Bangs, asymmetrical breasts, Hoop earrings, coral velvet lipstick
winter, Sweater with a scarf, beanie and gloves, Starlet, Average Height, Fit, Diamond-Shaped Face, Dark Skin, Red Hair, Green Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Fishbone Braid, asymmetrical breasts, Faux gauge earrings, grape velvet lipstick
winter, Fur vest with a turtleneck sweater and skinny jeans, Baroness, Short, Firm, Diamond-Shaped Face, Tan Skin, Gray Hair, jade Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Fishbone Braid, soft breasts, Huggie earrings, fuchsia matte lipstick
spring, A white shirt dress with ankle boots and a belt, Belle, Tall, Firm, Round Face, Fair Skin, White Hair, aquamarine Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Bangs with Highlights, small breasts, Huggie earrings, brown gloss lipstick
spring, A sleeveless blouse with a denim skirt and heels, Queen, Average Height, Wide Hips, Diamond-Shaped Face, Dark Skin, Gray Hair, Gray Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Side Bangs, soft breasts, Threader earrings, light pink gloss lipstick
autumn, A pleated midi skirt with a blouse and loafers, Phenom, Short, in shape, Round Face, Dark Skin, Dark Brown Hair, Brown Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Donut Bun, firm breasts, , soft pink matte lipstick
summer, A floral sundress with sandals and a straw hat, Vixen, Average Height, in shape, Triangular Face, Fair Skin, Black Hair, black Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Afro, perky breasts, Hoop earrings, rust cream lipstick
spring, A striped t-shirt with distressed jeans and sandals, Female Viking, Short, Athletic, Round Face, Fair Skin, Chestnut Hair, purple Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Formal Braided Updo, round breasts, Huggie earrings, pink satin lipstick
winter, A plaid blazer with a white tee and jeans, Gal, Tall, Firm, Round Face, Dark Skin, Honey Blonde Hair, dark brown Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Straight Bob with Layers, large breasts, Huggie earrings, peach matte lipstick
autumn, A sweater with skinny jeans and ankle boots, Superwoman, Short, Fit, Round Face, Tan Skin, Golden Blonde Hair, green Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Side-Swept Bangs, soft breasts, Huggie earrings, hot pink stain lipstick
summer, A collared shirt with linen trousers and espadrilles, Queen, Average Height, Wide Hips, Triangular Face, Dark Skin, Platinum Blonde Hair, teal Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Viking Braid, saggy breasts, Hoop earrings, grape stain lipstick
summer, A midi skirt with a tucked in tank and slides, Woman, Short, in shape, Oval Face, Dark Skin, Gray Hair, hazel Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Braided Half Up, saggy breasts, Huggie earrings, plum stain lipstick
summer, A sundress with flat sandals and a sun hat, Heiress, Average Height, Lean, Square Face, Fair Skin, Silver Hair, green Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fringed Bangs, augmented breasts, , mauve matte lipstick
autumn, A jumpsuit with a belt and block heels, Enchantress, Average Height, Slim, Heart-Shaped Face, Dark Skin, Gray Hair, amber Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Angled Bob, large breasts, Drop earrings, berry satin lipstick
autumn, A turtleneck with a midi skirt and ankle boots, Madame, Short, in shape, Oval Face, Dark Skin, Golden Blonde Hair, Blue Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Twisted Bun, firm breasts, Dangle earrings, golden velvet lipstick
autumn, A lightweight sweater with corduroy pants and sneakers, Duchess, Average Height, Skinny, Triangular Face, Tan Skin, Black Hair, silver Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Curled Updo, small breasts, Faux gauge earrings, burgundy stain lipstick
autumn, A structured jumpsuit with ankle booties and a belt, Femme fatale, Short, in shape, Round Face, Dark Skin, Gray Hair, turquoise Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Fishbone Braid, large breasts, Cuff earrings, soft pink matte lipstick
autumn, A midi skirt with a tucked in turtleneck and ankle boots, Phenom, Average Height, Fit, Heart-Shaped Face, Fair Skin, Brunette Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Coarse Hair, Wedding Updo, natural breasts, Dangle earrings, black metallic lipstick
autumn, A turtleneck dress with ankle boots and a leather jacket, Diva, Tall, Narrow Hips, Square Face, Tan Skin, Platinum Blonde Hair, gold Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, High Bun, soft breasts, Dangle earrings, fuchsia velvet lipstick
spring, A lightweight sweater with cropped pants and sneakers, Female Viking, Tall, Fit, Triangular Face, Olive Skin, Red Hair, ruby Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Chignon, saggy breasts, Cuff earrings, peach satin lipstick
spring, A structured jumpsuit with strappy sandals and a statement necklace, Phenom, Average Height, Toned, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo, round breasts, Huggie earrings, terracotta stain lipstick
autumn, A lightweight knit sweater with corduroy pants and sneakers, Female Warrior, Tall, in shape, Square Face, Fair Skin, White Hair, yellow Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Chignon, asymmetrical breasts, Faux gauge earrings, berry metallic lipstick
spring, A button-down shirt with white pants and sandals, Duchess, Tall, Toned, Round Face, Dark Skin, Light Brown Hair, amethyst Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Viking Braid, firm breasts, Faux gauge earrings, berry velvet lipstick
summer, A strapless sundress with a denim jacket and espadrilles, Visionary, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Light Brown Hair, blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Half Up Half Down, saggy breasts, Drop earrings, teal sheer lipstick
summer, A maxi dress with a denim jacket and flat sandals, Visionary, Tall, Toned, Heart-Shaped Face, Tan Skin, Red Hair, Hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Bangs with Highlights, natural breasts, Hoop earrings, magenta gloss lipstick
autumn, A long-sleeve sundress with ankle boots and a denim jacket, Enigma, Tall, Firm, Diamond-Shaped Face, Dark Skin, Chestnut Hair, pink Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Straight Hair, Messy Beach Waves, large breasts, Hoop earrings, golden stain lipstick
summer, A linen shirt dress with ankle boots and a belt, Babe, Average Height, in shape, Heart-Shaped Face, Olive Skin, Gray Hair, dark brown Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Messy Beach Waves, full breasts, , beige satin lipstick
autumn, A floral maxi dress with heeled boots, Artist, Average Height, Wide Hips, Triangular Face, Fair Skin, Auburn Hair, Brown Eyes with Green Flecks, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Straight Bob, saggy breasts, Huggie earrings, grape sheer lipstick
autumn, A hoodie with sweatpants and sneakers, Seductress, Average Height, Narrow Hips, Heart-Shaped Face, Fair Skin, Auburn Hair, teal Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Sock Bun, natural breasts, Faux gauge earrings, red metallic lipstick
winter, A wrap dress with booties and a belt, Baroness, Average Height, Lean, Square Face, Fair Skin, Blonde Hair, Gray Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Side French Braid, augmented breasts, Faux gauge earrings, berry velvet lipstick
winter, An oversized faux fur coat with black jeans and heels, Madam, Average Height, Toned, Square Face, Olive Skin, Platinum Blonde Hair, green Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, High Chignon, large breasts, Cuff earrings, golden velvet lipstick
summer, A sleeveless blouse with a midi skirt and wedges, Maven, Short, Fit, Heart-Shaped Face, Olive Skin, Gray Hair, Blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, French Twist, large breasts, Stud earrings, soft pink velvet lipstick
spring, A collared shirt with a pleated skirt and ballet flats, Countess, Average Height, Wide Hips, Square Face, Tan Skin, Golden Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Twisted Bun, soft breasts, Drop earrings, light pink gloss lipstick
autumn, A puffer jacket with a turtleneck, jeans, and boots, Visionary, Average Height, Toned, Heart-Shaped Face, Tan Skin, Silver Hair, pink Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Fishbone Braid, natural breasts, Huggie earrings, golden stain lipstick
spring, A tank top with a midi skirt and sandals, Diva, Tall, Firm, Square Face, Fair Skin, Black Hair, silver Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, natural breasts, Huggie earrings, golden gloss lipstick
summer, A striped jumpsuit with a denim vest, Phenom, Short, Fit, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, coral Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Side-Swept Bangs, large breasts, Faux gauge earrings, lavender matte lipstick
summer, A floral sundress with sandals and a straw hat, Gal, Tall, Fit, Triangular Face, Fair Skin, Auburn Hair, amethyst Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Chignon, soft breasts, Hoop earrings, lavender sheer lipstick
summer, A floral midi dress with sandals and a straw hat, Enigma, Tall, Thin, Diamond-Shaped Face, Dark Skin, Auburn Hair, Hazel Eyes with Green Flecks, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Ballerina Bun, full breasts, Cuff earrings, orange metallic lipstick
spring, A collared shirt with a pleated skirt and ballet flats, Lady, Short, Wide Hips, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, Sapphire Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, French Roll, small breasts, Hoop earrings, magenta gloss lipstick
summer, A striped jumpsuit with a denim vest, Baroness, Average Height, Fit, Triangular Face, Olive Skin, Strawberry Blonde Hair, Brown Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Boho Braid, small breasts, Stud earrings, rust metallic lipstick
winter, Turtleneck sweater with a coat and pantsA turtleneck dress with knee-high boots and a wool coat, Miss, Short, Fit, Oval Face, Olive Skin, Brunette Hair, Gray Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Curled Bob, large breasts, Drop earrings, rust stain lipstick
autumn, A denim jacket with a sweater and jeans, Trailblazer, Average Height, Thin, Diamond-Shaped Face, Olive Skin, Chestnut Hair, gold Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Herringbone Braid, full breasts, Stud earrings, orange gloss lipstick
autumn, A hoodie with sweatpants and sneakers, Diva, Tall, Slim, Triangular Face, Fair Skin, Silver Hair, blue Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Shoulder-Length Curls, augmented breasts, Huggie earrings, lavender metallic lipstick
spring, A pleated midi skirt with a graphic tee and sandals, Luminary, Average Height, Toned, Heart-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fishtail Braid, soft breasts, Faux gauge earrings, soft pink velvet lipstick
spring, A pastel lightweight sweater with cropped white jeans and sneakers, Duchess, Tall, Toned, Square Face, Olive Skin, Auburn Hair, Hazel Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Top Knot, natural breasts, Clip-on earrings, pink velvet lipstick
autumn, A tweed blazer with a white tee and jeans, Woman, Short, in shape, Oval Face, Dark Skin, Blonde Hair, teal Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Long Wavy Hair, augmented breasts, Hoop earrings, berry gloss lipstick
summer, A tank top with shorts and sneakers, Superwoman, Short, Skinny, Triangular Face, Dark Skin, Red Hair, dark brown Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Long Straight Hair, natural breasts, Hoop earrings, brown metallic lipstick
summer, A sundress with flat sandals and a sun hat, Diva, Short, Firm, Diamond-Shaped Face, Dark Skin, White Hair, Gray Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Waterfall Braid, augmented breasts, Cuff earrings, red velvet lipstick
winter, A collared shirt with a pleated skirt and ankle boots, Miss, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Blonde Hair, amber Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fishbone Braid, full breasts, Dangle earrings, fuchsia stain lipstick
summer, A tank top with a maxi skirt and sandals, Female Warrior, Short, Thin, Oval Face, Fair Skin, Honey Blonde Hair, purple Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Tousled Waves, full breasts, Drop earrings, orange stain lipstick
summer, A striped jumpsuit with a denim vest, Superwoman, Tall, in shape, Square Face, Olive Skin, Strawberry Blonde Hair, green Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, High Bun, round breasts, Dangle earrings, hot pink satin lipstick
spring, A striped jumpsuit with a jean jacket, Gal, Short, Slim, Square Face, Olive Skin, Brunette Hair, Green Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Afro, saggy breasts, Hoop earrings, red metallic lipstick
winter, Turtleneck sweater with a long skirt and ankle boots, Duchess, Short, Narrow Hips, Round Face, Olive Skin, Light Brown Hair, grey Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Viking Braid, natural breasts, Clip-on earrings, hot pink matte lipstick
autumn, A lightweight sweater with corduroy pants and sneakers, Enigma, Tall, Fit, Triangular Face, Fair Skin, Gray Hair, Blue Eyes with Green Flecks, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Swept Bangs, full breasts, , magenta metallic lipstick
autumn, A wrap dress with heeled booties, Female Viking, Short, Wide Hips, Square Face, Fair Skin, Golden Blonde Hair, purple Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, round breasts, Threader earrings, berry metallic lipstick
winter, A velvet midi skirt with a tucked in sweater and ankle boots, Luminary, Average Height, Athletic, Heart-Shaped Face, Olive Skin, Gray Hair, brown Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Beach Waves, soft breasts, Drop earrings, black satin lipstick
summer, A tank top with shorts and sneakers, Baroness, Average Height, Skinny, Oval Face, Tan Skin, Strawberry Blonde Hair, Brown Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Wavy Bob, full breasts, Cuff earrings, soft pink gloss lipstick
autumn, A plaid shirt with leggings and tall boots, Babe, Short, Skinny, Square Face, Dark Skin, Honey Blonde Hair, Blue Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Fishtail Braid, round breasts, Threader earrings, peach gloss lipstick
winter, Turtleneck sweater with a long skirt and ankle boots, Trailblazer, Short, Slim, Triangular Face, Tan Skin, Strawberry Blonde Hair, Brown Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, High Ponytail, saggy breasts, Faux gauge earrings, soft pink cream lipstick
winter, A wrap dress with heeled booties, Femme fatale, Average Height, Athletic, Oval Face, Fair Skin, Light Brown Hair, Brown Eyes with Green Flecks, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Blunt Bangs, firm breasts, Faux gauge earrings, red velvet lipstick
summer, A printed romper with heeled mules and a crossbody bag, Charmer, Tall, Slim, Triangular Face, Dark Skin, Red Hair, red Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Ballerina Bun, natural breasts, Threader earrings, cherry stain lipstick
summer, A tank top with shorts and sneakers, Chanteuse, Average Height, Slim, Triangular Face, Tan Skin, Golden Blonde Hair, teal Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Long Curled Updo, natural breasts, Drop earrings, burgundy matte lipstick
winter, Puffy jacket with skinny jeans and snow boots, Gal, Average Height, Slim, Round Face, Dark Skin, Strawberry Blonde Hair, coral Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Sleek Waves, large breasts, Huggie earrings, burgundy gloss lipstick
winter, A lightweight sweater with black jeans and combat boots, Escort, Short, Firm, Oval Face, Tan Skin, Silver Hair, Hazel Eyes with Green Flecks, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Messy Beach Waves, round breasts, Threader earrings, cream velvet lipstick
spring, A button-down dress with a neck scarf and sneakers, Babe, Average Height, Firm, Heart-Shaped Face, Dark Skin, Brunette Hair, amber Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Bouncy Curls, full breasts, Faux gauge earrings, black cream lipstick
winter, A long-sleeve sundress with tights and a faux fur coat, Lady, Tall, Fit, Round Face, Fair Skin, Strawberry Blonde Hair, grey Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Fishbone Braid, soft breasts, Cuff earrings, orange velvet lipstick
spring, A sundress with sandals and a denim jacket, Goddess, Average Height, Toned, Round Face, Dark Skin, Dark Brown Hair, green Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Rope Braid, small breasts, Cuff earrings, magenta matte lipstick
spring, A midi wrap skirt with a tucked in tank and sneakers, Seductress, Short, Skinny, Oval Face, Tan Skin, Red Hair, brown Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Long Curled Updo, full breasts, Threader earrings, teal gloss lipstick
autumn, A floral maxi dress with heeled boots, Maven, Short, in shape, Diamond-Shaped Face, Tan Skin, Brunette Hair, Sapphire Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Bouncy Curls, asymmetrical breasts, Faux gauge earrings, pink cream lipstick
autumn, A long-sleeve sundress with ankle boots and a denim jacket, Baroness, Short, Narrow Hips, Oval Face, Tan Skin, Auburn Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Fine Hair, Afro, full breasts, Clip-on earrings, fuchsia sheer lipstick
autumn, A jumpsuit with a belt and block heels, Artist, Short, Toned, Square Face, Dark Skin, Silver Hair, peach Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Formal Updo, full breasts, , shimmer metallic lipstick
autumn, A sweater with skinny jeans and ankle boots, Trailblazer, Short, Firm, Heart-Shaped Face, Tan Skin, Blonde Hair, Sapphire Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Afro, saggy breasts, , golden sheer lipstick
spring, A midi wrap skirt with a tucked in tank and sneakers, Vixen, Average Height, in shape, Diamond-Shaped Face, Olive Skin, Auburn Hair, brown Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo, saggy breasts, Drop earrings, plum cream lipstick
autumn, A printed romper with heeled boots and a fedora, Mistress, Average Height, Thin, Triangular Face, Fair Skin, Red Hair, black Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Herringbone Braid, augmented breasts, Threader earrings, terracotta velvet lipstick
autumn, A plaid shirt with leggings and tall boots, Chanteuse, Tall, Fit, Round Face, Tan Skin, Brunette Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, small breasts, Cuff earrings, black stain lipstick
winter, Parka with a sweater and thermal wear, Woman, Average Height, Wide Hips, Round Face, Tan Skin, Black Hair, ice blue Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Sleek Bun, perky breasts, Stud earrings, rust sheer lipstick
