Gold, bib necklace, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Ruthenium, chain necklace, Queen, Average Height, Wide Hips, Triangular Face, Dark Skin, Platinum Blonde Hair, teal Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Viking Braid, saggy breasts, Hoop earrings, grape stain lipstick, Red Lace Bra and Panty Set with Garter Belt
Beryllium, torc necklace, Woman, Short, in shape, Oval Face, Dark Skin, Gray Hair, hazel Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Braided Half Up, saggy breasts, Huggie earrings, plum stain lipstick, Black Leather Bralette and Panty Set
Rhenium, bracelet, Heiress, Average Height, Lean, Square Face, Fair Skin, Silver Hair, green Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fringed Bangs, augmented breasts, , mauve matte lipstick, Green Sequin Slip Dress with Thigh-High Slits
Ruthenium, collar necklace, Enchantress, Average Height, Slim, Heart-Shaped Face, Dark Skin, Gray Hair, amber Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Thick Hair, Angled Bob, large breasts, Drop earrings, berry satin lipstick, Green Silk Bralette and Panty Set
Platinum, anklet, Madame, Short, in shape, Oval Face, Dark Skin, Golden Blonde Hair, Blue Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Twisted Bun, firm breasts, Dangle earrings, golden velvet lipstick, Grey Faux Leather Corset 
Germanium, chain bracelet, Duchess, Average Height, Skinny, Triangular Face, Tan Skin, Black Hair, silver Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Curled Updo, small breasts, Faux gauge earrings, burgundy stain lipstick, Yellow Lace Halter Bralette and Thong Set
Palladium, tennis necklace, Femme fatale, Short, in shape, Round Face, Dark Skin, Gray Hair, turquoise Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Fishbone Braid, large breasts, Cuff earrings, soft pink matte lipstick, White Satin and Lace Bra and Panty Set
Rhodium, cocktail brooch, Phenom, Average Height, Fit, Heart-Shaped Face, Fair Skin, Brunette Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Coarse Hair, Wedding Updo, natural breasts, Dangle earrings, black metallic lipstick, Pink Floral Corset
Rhodium, collar necklace, Diva, Tall, Narrow Hips, Square Face, Tan Skin, Platinum Blonde Hair, gold Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, High Bun, soft breasts, Dangle earrings, fuchsia velvet lipstick, Mint Green Mesh Teddy 
Rhodium, necklace, Female Viking, Tall, Fit, Triangular Face, Olive Skin, Red Hair, ruby Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Chignon, saggy breasts, Cuff earrings, peach satin lipstick, Maroon Satin and Lace Corset 
Tantalum, cocktail brooch, Phenom, Average Height, Toned, Diamond-Shaped Face, Olive Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo, round breasts, Huggie earrings, terracotta stain lipstick, Black Leather Bralette and Panty Set
Platinum, tennis necklace, Female Warrior, Tall, in shape, Square Face, Fair Skin, White Hair, yellow Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Chignon, asymmetrical breasts, Faux gauge earrings, berry metallic lipstick, Green Sequin Slip Dress with Thigh-High Slits
Ruthenium, brooch, Duchess, Tall, Toned, Round Face, Dark Skin, Light Brown Hair, amethyst Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Viking Braid, firm breasts, Faux gauge earrings, berry velvet lipstick, Gold Strappy Bodysuit
Cadmium, watch bracelet, Visionary, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Light Brown Hair, blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Half Up Half Down, saggy breasts, Drop earrings, teal sheer lipstick, Black Cutout Bodysuit with Zipper
Cadmium, animal brooch, Visionary, Tall, Toned, Heart-Shaped Face, Tan Skin, Red Hair, Hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Bangs with Highlights, natural breasts, Hoop earrings, magenta gloss lipstick, Plum Satin and Lace Bustier 
Germanium, brooch, Enigma, Tall, Firm, Diamond-Shaped Face, Dark Skin, Chestnut Hair, pink Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Straight Hair, Messy Beach Waves, large breasts, Hoop earrings, golden stain lipstick, White Lace Bralette and Boyshorts Set
Ruthenium, anklet, Babe, Average Height, in shape, Heart-Shaped Face, Olive Skin, Gray Hair, dark brown Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Messy Beach Waves, full breasts, , beige satin lipstick, Yellow Lace Halter Bralette and Thong Set
Palladium, tennis bracelet, Artist, Average Height, Wide Hips, Triangular Face, Fair Skin, Auburn Hair, Brown Eyes with Green Flecks, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Straight Bob, saggy breasts, Huggie earrings, grape sheer lipstick, Black Leather Bralette and Panty Set
Indium, beaded necklace, Seductress, Average Height, Narrow Hips, Heart-Shaped Face, Fair Skin, Auburn Hair, teal Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Sock Bun, natural breasts, Faux gauge earrings, red metallic lipstick, Charcoal Sheer Bra and Panty Set
Iridium, anklet, Baroness, Average Height, Lean, Square Face, Fair Skin, Blonde Hair, Gray Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Side French Braid, augmented breasts, Faux gauge earrings, berry velvet lipstick, Purple Velvet Robe with Fur Trim 
Beryllium, animal brooch, Madam, Average Height, Toned, Square Face, Olive Skin, Platinum Blonde Hair, green Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, High Chignon, large breasts, Cuff earrings, golden velvet lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Rhodium, friendship bracelet, Maven, Short, Fit, Heart-Shaped Face, Olive Skin, Gray Hair, Blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, French Twist, large breasts, Stud earrings, soft pink velvet lipstick, Black Mesh Bodysuit with Embroidered Flowers
Cadmium, bib necklace, Countess, Average Height, Wide Hips, Square Face, Tan Skin, Golden Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Twisted Bun, soft breasts, Drop earrings, light pink gloss lipstick, Silver Silk Bra and Panty Set with Garter Belt
Platinum, animal brooch, Visionary, Average Height, Toned, Heart-Shaped Face, Tan Skin, Silver Hair, pink Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Fishbone Braid, natural breasts, Huggie earrings, golden stain lipstick, Maroon Satin and Lace Corset 
Beryllium, tassel necklace, Diva, Tall, Firm, Square Face, Fair Skin, Black Hair, silver Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, natural breasts, Huggie earrings, golden gloss lipstick, Plum Satin and Lace Bustier 
Tantalum, flower brooch, Phenom, Short, Fit, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, coral Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Side-Swept Bangs, large breasts, Faux gauge earrings, lavender matte lipstick, Red Satin Kimono with Lace Sleeve Detail
Gold, cocktail ring, Gal, Tall, Fit, Triangular Face, Fair Skin, Auburn Hair, amethyst Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Chignon, soft breasts, Hoop earrings, lavender sheer lipstick, Blue Sheer Babydoll with Satin Trim
Silver, ankle cuff, Enigma, Tall, Thin, Diamond-Shaped Face, Dark Skin, Auburn Hair, Hazel Eyes with Green Flecks, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Ballerina Bun, full breasts, Cuff earrings, orange metallic lipstick, Purple Velvet Slip with Lace Trim
Ruthenium, friendship bracelet, Lady, Short, Wide Hips, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, Sapphire Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, French Roll, small breasts, Hoop earrings, magenta gloss lipstick, Green Satin Robe with Lace Trim
Cadmium, friendship bracelet, Baroness, Average Height, Fit, Triangular Face, Olive Skin, Strawberry Blonde Hair, Brown Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Boho Braid, small breasts, Stud earrings, rust metallic lipstick, Black Cutout Bodysuit with Zipper
Cadmium, ankle strap, Miss, Short, Fit, Oval Face, Olive Skin, Brunette Hair, Gray Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Curled Bob, large breasts, Drop earrings, rust stain lipstick, Blue Satin and Lace Cami and Short Set
Ruthenium, cocktail ring, Trailblazer, Average Height, Thin, Diamond-Shaped Face, Olive Skin, Chestnut Hair, gold Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Herringbone Braid, full breasts, Stud earrings, orange gloss lipstick, Brown Strappy Bodysuit
Iridium, vintage brooch, Diva, Tall, Slim, Triangular Face, Fair Skin, Silver Hair, blue Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Shoulder-Length Curls, augmented breasts, Huggie earrings, lavender metallic lipstick, Charcoal Sheer Bra and Panty Set
Iridium, tennis bracelet, Luminary, Average Height, Toned, Heart-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fishtail Braid, soft breasts, Faux gauge earrings, soft pink velvet lipstick, Turquoise Sheer Chemise with Cutouts
Germanium, torc necklace, Duchess, Tall, Toned, Square Face, Olive Skin, Auburn Hair, Hazel Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Top Knot, natural breasts, Clip-on earrings, pink velvet lipstick, Black Mesh Bodysuit with Embroidered Flowers
Rhodium, watch bracelet, Woman, Short, in shape, Oval Face, Dark Skin, Blonde Hair, teal Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Long Wavy Hair, augmented breasts, Hoop earrings, berry gloss lipstick, Tan Faux Leather Slip Dress
Platinum, watch bracelet, Superwoman, Short, Skinny, Triangular Face, Dark Skin, Red Hair, dark brown Eyes, Wide Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Long Straight Hair, natural breasts, Hoop earrings, brown metallic lipstick, Turquoise Sheer Chemise with Cutouts
Ruthenium, chain necklace, Diva, Short, Firm, Diamond-Shaped Face, Dark Skin, White Hair, Gray Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Waterfall Braid, augmented breasts, Cuff earrings, red velvet lipstick, Plum Satin and Lace Bustier 
Silver, cocktail brooch, Miss, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Blonde Hair, amber Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fishbone Braid, full breasts, Dangle earrings, fuchsia stain lipstick, Olive Green Mesh Garter Belt with Stockings
Germanium, bib necklace, Female Warrior, Short, Thin, Oval Face, Fair Skin, Honey Blonde Hair, purple Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Tousled Waves, full breasts, Drop earrings, orange stain lipstick, Black Mesh Bodysuit with Embroidered Flowers
Tantalum, brooch pin, Superwoman, Tall, in shape, Square Face, Olive Skin, Strawberry Blonde Hair, green Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, High Bun, round breasts, Dangle earrings, hot pink satin lipstick, Black Sheer Teddy with Floral Applique
Osmium, beaded necklace, Gal, Short, Slim, Square Face, Olive Skin, Brunette Hair, Green Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Afro, saggy breasts, Hoop earrings, red metallic lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Cadmium, multi-strand necklace, Duchess, Short, Narrow Hips, Round Face, Olive Skin, Light Brown Hair, grey Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Viking Braid, natural breasts, Clip-on earrings, hot pink matte lipstick, Navy Blue Satin Garter Belt with Suspenders 
Indium, watch bracelet, Enigma, Tall, Fit, Triangular Face, Fair Skin, Gray Hair, Blue Eyes with Green Flecks, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Swept Bangs, full breasts, , magenta metallic lipstick, Cream Sequin Bra and Pant Set
Cadmium, cocktail ring, Female Viking, Short, Wide Hips, Square Face, Fair Skin, Golden Blonde Hair, purple Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, round breasts, Threader earrings, berry metallic lipstick, Blue Satin and Lace Cami and Short Set
Iridium, toe ring, Luminary, Average Height, Athletic, Heart-Shaped Face, Olive Skin, Gray Hair, brown Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Beach Waves, soft breasts, Drop earrings, black satin lipstick, Green Satin Robe with Lace Trim
Radium, chain necklace, Baroness, Average Height, Skinny, Oval Face, Tan Skin, Strawberry Blonde Hair, Brown Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Wavy Bob, full breasts, Cuff earrings, soft pink gloss lipstick, Plum Satin and Lace Bustier 
Gallium, chain necklace, Babe, Short, Skinny, Square Face, Dark Skin, Honey Blonde Hair, Blue Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Fishtail Braid, round breasts, Threader earrings, peach gloss lipstick, Silver Silk Bra and Panty Set with Garter Belt
Osmium, necklace, Trailblazer, Short, Slim, Triangular Face, Tan Skin, Strawberry Blonde Hair, Brown Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, High Ponytail, saggy breasts, Faux gauge earrings, soft pink cream lipstick, Blue Strappy Bodysuit with Cutouts
Platinum, beaded bracelet, Femme fatale, Average Height, Athletic, Oval Face, Fair Skin, Light Brown Hair, Brown Eyes with Green Flecks, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Blunt Bangs, firm breasts, Faux gauge earrings, red velvet lipstick, Black Cutout Bodysuit with Zipper
Rhenium, tennis necklace, Charmer, Tall, Slim, Triangular Face, Dark Skin, Red Hair, red Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Ballerina Bun, natural breasts, Threader earrings, cherry stain lipstick, Green Satin and Lace Garter Belt with Matching Thong
Radium, vintage brooch, Chanteuse, Average Height, Slim, Triangular Face, Tan Skin, Golden Blonde Hair, teal Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Long Curled Updo, natural breasts, Drop earrings, burgundy matte lipstick, Silver Silk Bra and Panty Set with Garter Belt
Tantalum, anklet, Gal, Average Height, Slim, Round Face, Dark Skin, Strawberry Blonde Hair, coral Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Sleek Waves, large breasts, Huggie earrings, burgundy gloss lipstick, Yellow Lace Garter Belt 
Osmium, beaded bracelet, Escort, Short, Firm, Oval Face, Tan Skin, Silver Hair, Hazel Eyes with Green Flecks, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Messy Beach Waves, round breasts, Threader earrings, cream velvet lipstick, Green Sequin Slip Dress with Thigh-High Slits
Radium, ankle cuff, Babe, Average Height, Firm, Heart-Shaped Face, Dark Skin, Brunette Hair, amber Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Bouncy Curls, full breasts, Faux gauge earrings, black cream lipstick, Green Sequin Slip Dress with Thigh-High Slits
Radium, statement necklace, Lady, Tall, Fit, Round Face, Fair Skin, Strawberry Blonde Hair, grey Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Fishbone Braid, soft breasts, Cuff earrings, orange velvet lipstick, White Satin and Lace Bra and Panty Set
Gallium, bangle bracelet, Goddess, Average Height, Toned, Round Face, Dark Skin, Dark Brown Hair, green Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Rope Braid, small breasts, Cuff earrings, magenta matte lipstick, Grey Faux Leather Corset 
Gold, choker, Seductress, Short, Skinny, Oval Face, Tan Skin, Red Hair, brown Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Long Curled Updo, full breasts, Threader earrings, teal gloss lipstick, Black Cutout Bodysuit with Zipper
Silver, bracelet, Maven, Short, in shape, Diamond-Shaped Face, Tan Skin, Brunette Hair, Sapphire Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Bouncy Curls, asymmetrical breasts, Faux gauge earrings, pink cream lipstick, Cream Sequin Bra and Pant Set
Rhenium, anklet, Baroness, Short, Narrow Hips, Oval Face, Tan Skin, Auburn Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Fine Hair, Afro, full breasts, Clip-on earrings, fuchsia sheer lipstick, Black Sheer Teddy with Floral Applique
Palladium, collar necklace, Artist, Short, Toned, Square Face, Dark Skin, Silver Hair, peach Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Formal Updo, full breasts, , shimmer metallic lipstick, Pink Lace Garter Slip with Matching Thong
Indium, bangle bracelet, Trailblazer, Short, Firm, Heart-Shaped Face, Tan Skin, Blonde Hair, Sapphire Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Afro, saggy breasts, , golden sheer lipstick, Charcoal Sheer Bra and Panty Set
Osmium, bangle bracelet, Vixen, Average Height, in shape, Diamond-Shaped Face, Olive Skin, Auburn Hair, brown Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo, saggy breasts, Drop earrings, plum cream lipstick, Purple Mesh Babydoll with Matching G-String
Palladium, locket necklace, Mistress, Average Height, Thin, Triangular Face, Fair Skin, Red Hair, black Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Herringbone Braid, augmented breasts, Threader earrings, terracotta velvet lipstick, Red Mesh Chemise with Strappy Back Detail
Indium, vintage brooch, Chanteuse, Tall, Fit, Round Face, Tan Skin, Brunette Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, small breasts, Cuff earrings, black stain lipstick, Grey Faux Leather Corset 
Tantalum, beaded bracelet, Woman, Average Height, Wide Hips, Round Face, Tan Skin, Black Hair, ice blue Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Sleek Bun, perky breasts, Stud earrings, rust sheer lipstick, White Satin and Lace Bra and Panty Set
Ruthenium, friendship bracelet, Enchantress, Short, Thin, Heart-Shaped Face, Olive Skin, Silver Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Straight Updo, firm breasts, Drop earrings, fuchsia satin lipstick, Blue Sheer Babydoll with Satin Trim
Platinum, statement necklace, Escort, Average Height, Athletic, Oval Face, Tan Skin, Golden Blonde Hair, brown Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Updo, firm breasts, Hoop earrings, gloss gloss lipstick, Grey Faux Leather Corset 
Osmium, brooch pin, Chanteuse, Average Height, Narrow Hips, Triangular Face, Tan Skin, Strawberry Blonde Hair, yellow Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Fauxhawk, augmented breasts, Faux gauge earrings, berry stain lipstick, Brown Strappy Bodysuit
Osmium, statement necklace, Diva, Short, Skinny, Round Face, Tan Skin, Gray Hair, amber Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Fishbone Braid, round breasts, Faux gauge earrings, rust velvet lipstick, Red Mesh Chemise with Strappy Back Detail
Iridium, bangle bracelet, Mistress, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Black Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, natural breasts, Drop earrings, berry matte lipstick, Green Sequin Slip Dress with Thigh-High Slits
Gallium, brooch, Countess, Average Height, Lean, Heart-Shaped Face, Tan Skin, Chestnut Hair, Amber Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Bouncy Curls, round breasts, Drop earrings, light pink matte lipstick, Black Leather Bralette and Panty Set
Ruthenium, bracelet, Heiress, Average Height, Athletic, Round Face, Olive Skin, Blonde Hair, grey-blue Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, High Messy Bun, large breasts, Dangle earrings, orange metallic lipstick, Brown Strappy Bodysuit
Rhenium, cocktail brooch, Miss, Short, Thin, Square Face, Tan Skin, Platinum Blonde Hair, ice blue Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, small breasts, Hoop earrings, lavender sheer lipstick, White Lace Bralette and Boyshorts Set
Gallium, charm bracelet, Charmer, Average Height, Wide Hips, Heart-Shaped Face, Olive Skin, Silver Hair, silver Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, small breasts, Huggie earrings, grape gloss lipstick, Brown Strappy Bodysuit
Platinum, animal brooch, Miss, Short, Thin, Round Face, Olive Skin, Light Brown Hair, Amber Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Boho Braid, round breasts, , lavender gloss lipstick, Green Satin Robe with Lace Trim
Osmium, vintage brooch, Sensation, Short, Firm, Triangular Face, Fair Skin, Gray Hair, Blue Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Double Braided Crown, asymmetrical breasts, Hoop earrings, hot pink cream lipstick, Red Mesh Chemise with Strappy Back Detail
Tantalum, torc necklace, Dame, Short, Narrow Hips, Square Face, Dark Skin, Golden Blonde Hair, coral Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Low Chignon, asymmetrical breasts, Huggie earrings, green sheer lipstick, Cream Sequin Bra and Pant Set
Gallium, choker, Temptress, Short, Lean, Triangular Face, Dark Skin, Silver Hair, amber Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Bangs with Highlights, small breasts, , golden matte lipstick, Ivory Lace Teddy
Iridium, anklet, Belle, Average Height, Athletic, Diamond-Shaped Face, Dark Skin, Red Hair, grey Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Straight Bob, saggy breasts, Cuff earrings, golden matte lipstick, Black Leather Bralette and Panty Set
Palladium, tassel necklace, Miss, Short, Thin, Heart-Shaped Face, Olive Skin, Chestnut Hair, amethyst Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Formal Braided Updo, full breasts, Cuff earrings, hot pink gloss lipstick, Green Silk Bralette and Panty Set
Cadmium, pendant, Escort, Short, Fit, Oval Face, Fair Skin, Dark Brown Hair, black Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Loose Waves, natural breasts, Stud earrings, soft pink satin lipstick, Brown Strappy Bodysuit
Rhenium, slave bracelet, Trailblazer, Tall, Slim, Diamond-Shaped Face, Olive Skin, Light Brown Hair, pink Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Herringbone Braid, small breasts, Drop earrings, hot pink metallic lipstick, Lavender Lace Bra and Panty Set 
Osmium, chain bracelet, Sensation, Average Height, Toned, Heart-Shaped Face, Tan Skin, Auburn Hair, grey-blue Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Short Afro, soft breasts, , cream cream lipstick, Maroon Satin and Lace Corset 
Gallium, cocktail brooch, Mistress, Average Height, Skinny, Heart-Shaped Face, Olive Skin, White Hair, purple Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, High Chignon, full breasts, Threader earrings, cream satin lipstick, Crimson Velvet Cami and Short Set 
Indium, brooch, Mistress, Average Height, Lean, Oval Face, Tan Skin, Dark Brown Hair, jade Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Loose Curls, full breasts, Drop earrings, cream sheer lipstick, Grey Faux Leather Corset 
Silver, friendship bracelet, Madam, Tall, Athletic, Oval Face, Fair Skin, Brunette Hair, Sapphire Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Viking Braid, soft breasts, Drop earrings, grape matte lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Osmium, vintage brooch, Baroness, Tall, Firm, Triangular Face, Dark Skin, Brunette Hair, Gray Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Viking Braid, asymmetrical breasts, , grape velvet lipstick, Teal Velvet Chemise with Ruffles 
Palladium, cocktail brooch, Temptress, Short, in shape, Square Face, Olive Skin, Red Hair, green Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband, large breasts, Clip-on earrings, green cream lipstick, Mint Green Mesh Teddy 
Gold, pearl necklace, Countess, Short, Wide Hips, Oval Face, Olive Skin, Dark Brown Hair, black Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Long Curled Updo, soft breasts, Hoop earrings, berry velvet lipstick, Blue Satin and Lace Cami and Short Set
Beryllium, bangle bracelet, Enchantress, Short, Lean, Triangular Face, Tan Skin, Strawberry Blonde Hair, blue Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, French Twist, saggy breasts, Threader earrings, light pink velvet lipstick, Maroon Satin and Lace Corset 
Rhodium, bracelet, Goddess, Average Height, Lean, Triangular Face, Dark Skin, Red Hair, yellow Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Curly Hair, Fringed Bangs, small breasts, Drop earrings, magenta velvet lipstick, Blue Strappy Bodysuit with Cutouts
Radium, vintage brooch, Femme fatale, Tall, Slim, Square Face, Fair Skin, Black Hair, Amber Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Wavy Bob, full breasts, Cuff earrings, terracotta cream lipstick, Olive Green Mesh Garter Belt with Stockings
Palladium, beaded necklace, Belle, Average Height, Lean, Round Face, Dark Skin, Brunette Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Thick Hair, French Twist, small breasts, Faux gauge earrings, soft pink stain lipstick, Blue Satin and Lace Cami and Short Set
Palladium, toe ring, Female Viking, Tall, Fit, Square Face, Tan Skin, Black Hair, amethyst Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Low Updo, large breasts, , magenta stain lipstick, Brown Strappy Bodysuit
